transfer_id,departure_object_id,arrival_object_id,departure_epoch,time_of_flight,revolutions,prograde,departure_position_x,departure_position_y,departure_position_z,departure_velocity_x,departure_velocity_y,departure_velocity_z,departure_semi_major_axis,departure_eccentricity,departure_inclination,departure_argument_of_periapsis,departure_longitude_of_ascending_node,departure_true_anomaly,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_semi_major_axis,arrival_eccentricity,arrival_inclination,arrival_argument_of_periapsis,arrival_longitude_of_ascending_node,arrival_true_anomaly,transfer_semi_major_axis,transfer_eccentricity,transfer_inclination,transfer_argument_of_periapsis,transfer_longitude_of_ascending_node,transfer_true_anomaly,departure_delta_v_x,departure_delta_v_y,departure_delta_v_z,arrival_delta_v_x,arrival_delta_v_y,arrival_delta_v_z,transfer_delta_v
16062143,24812,27445,2.4574e+06,337600,3,1,41666.2,6450.42,-20.3129,-0.469521,3.03879,0.00239276,42166.1,0.000307394,0.000915357,4.43667,0.707866,1.29224,38882.1,-16295.5,-36.6009,1.18857,2.83617,0.00203581,42166.9,0.000195404,0.00109177,5.46903,0.522464,6.17802,42203.9,0.00107775,0.000998642,5.35079,0.657021,0.428965,0.000253023,0.00143179,0.000297491,0.000207757,0.00137222,-0.000517126,0.00296516
16060845,24812,27445,2.4574e+06,353200,4,1,-37057.8,20133,35.1506,-1.46694,-2.70145,-0.000958758,42166.1,0.000273601,0.000889857,4.21582,0.715231,3.99606,-41999.3,-3808.5,18.6905,0.2778,-3.06164,-0.00301166,42166.9,0.000124377,0.00107522,5.39603,0.515295,3.60388,42203.3,0.000763343,0.0009477,2.4695,0.577073,5.88053,-0.000397064,-0.00132674,-0.000429203,-0.000480845,-0.00137363,0.00043553,0.002969
16062093,24812,27445,2.4574e+06,337600,3,1,42159.5,325.987,-24.8441,-0.0228967,3.0749,0.0021491,42166.1,0.000312482,0.000914296,4.43045,0.708113,1.15235,36100.5,-21774.6,-40.2277,1.58816,2.6333,0.00162608,42166.9,0.000194517,0.00109089,5.44205,0.522047,6.05953,42203.9,0.00108752,0.00104585,5.33735,0.606276,0.347287,0.000249297,0.0013781,0.000508304,0.000230858,0.0014323,-0.000308239,0.00297303
16060795,24812,27445,2.4574e+06,353200,4,1,-33741.2,25303,36.654,-1.84382,-2.45958,-0.000574911,42166.1,0.000269815,0.000888961,4.22973,0.71555,3.83605,-42107.3,2333.43,24.4582,-0.169999,-3.06949,-0.00277992,42166.9,0.000122425,0.00107426,5.43731,0.514927,3.41718,42203.3,0.000750529,0.000906581,2.31307,0.638784,5.82948,-0.00042928,-0.00137229,-0.000219374,-0.000483739,-0.00129992,0.000637074,0.00298083
16060895,24812,27445,2.4574e+06,353200,4,1,-39588.1,14535.7,32.8946,-1.0589,-2.88601,-0.00132296,42166.1,0.00027795,0.000890761,4.20446,0.714915,4.15352,-41000,-9869.6,12.5176,0.719713,-2.98881,-0.00318015,42166.9,0.000127223,0.00107617,5.35906,0.515668,3.78628,42203.3,0.000782281,0.00100561,2.60372,0.535863,5.9333,-0.000374282,-0.00130673,-0.000629678,-0.000469998,-0.00147587,0.000225305,0.00306324
16062193,24812,27445,2.4574e+06,337600,3,1,40288.1,12437.9,-15.338,-0.906118,2.93817,0.00258591,42166.1,0.000302097,0.000916423,4.44058,0.707624,1.43442,40837.8,-10470.2,-32.1945,0.763734,2.97881,0.00240315,42166.9,0.000195653,0.00109264,5.49627,0.522884,0.0130514,42203.9,0.00107178,0.00094045,5.37779,0.696602,0.508236,0.000246484,0.00151605,8.12421e-05,0.000191498,0.00134003,-0.000714375,0.00306868
16062043,24812,27445,2.4574e+06,337600,3,1,41757.4,-5805.37,-28.8363,0.424269,3.0457,0.00186023,42166.1,0.000317265,0.00091324,4.42214,0.708364,1.01454,32552,-26791.2,-42.9997,1.95401,2.37449,0.00118268,42166.9,0.000193004,0.00109001,5.41563,0.521635,5.94049,42203.9,0.00110142,0.00107968,5.33177,0.54794,0.265329,0.000248559,0.00135429,0.000709213,0.000273467,0.00151703,-9.2082e-05,0.00309306
16060745,24812,27445,2.4574e+06,353200,4,1,-29708.8,29936.3,37.3743,-2.18155,-2.16555,-0.000179621,42166.1,0.000266699,0.000888073,4.2459,0.715872,3.67379,-41321.7,8425.84,29.6997,-0.614183,-3.01221,-0.00248992,42166.9,0.00012145,0.0010733,5.48134,0.514563,3.22772,42203.3,0.000743681,0.000888156,2.13867,0.714462,5.78244,-0.000482608,-0.00143856,-4.54196e-06,-0.000490956,-0.00125233,0.000825726,0.00309572
16060043,24812,27445,2.4574e+06,337600,3,1,40135.6,12922.1,-14.6944,-0.941423,2.92704,0.00247216,42166.1,0.000301655,0.000876405,4.42783,0.720435,1.44641,40962.6,-9970.81,-30.0949,0.727312,2.98792,0.00237422,42166.9,0.000195637,0.00105151,5.51396,0.507469,0.0229841,42203.7,0.00106779,0.000869927,5.35579,0.723664,0.51521,0.000243008,0.00151812,-2.08722e-05,0.000191217,0.00133264,-0.000844546,0.00312685
16060945,24812,27445,2.4574e+06,353200,4,1,-41278.3,8629.98,29.9326,-0.628345,-3.00935,-0.00165972,42166.1,0.000282748,0.000891672,4.19583,0.714602,4.30824,-39130.7,-15721.3,6.06934,1.14637,-2.85256,-0.00328172,42166.9,0.000130847,0.00107712,5.32752,0.516045,3.96324,42203.3,0.000807166,0.00107323,2.71659,0.516533,5.98556,-0.000348468,-0.00131285,-0.000816644,-0.000438475,-0.00160471,1.07886e-05,0.00324847
16062243,24812,27445,2.4574e+06,337600,3,1,38054.6,18161.3,-10.0246,-1.32342,2.77518,0.00272435,42166.1,0.000296695,0.000917495,4.44198,0.707387,1.57909,41926.2,-4422.6,-27.1007,0.322674,3.05818,0.00272026,42166.9,0.000195263,0.00109351,5.52348,0.523309,0.131304,42203.9,0.00106877,0.00087459,5.42478,0.720572,0.58311,0.000216671,0.00162708,-0.000135875,0.000169259,0.0013345,-0.000895876,0.00326327
16060695,24812,27445,2.4574e+06,353200,4,1,-25046.1,33934.5,37.2979,-2.47298,-1.8256,0.000218686,42166.1,0.000264344,0.000887193,4.26393,0.716195,3.50968,-39659.3,14339.4,34.3052,-1.04533,-2.89101,-0.0021479,42166.9,0.000121499,0.00107233,5.52626,0.514203,3.03737,42203.3,0.00074237,0.000895344,1.95544,0.792843,5.74152,-0.000566645,-0.0015169,0.000210829,-0.000513017,-0.00122454,0.000997539,0.0032936
16061993,24812,27445,2.4574e+06,337600,3,1,40468.4,-11813.4,-32.2056,0.862476,2.9518,0.00153239,42166.1,0.000321657,0.000912191,4.41197,0.70862,0.878569,28312.2,-31238.7,-44.8596,2.27835,2.06526,0.000715037,42166.9,0.000190882,0.00108913,5.39008,0.521227,5.82056,42203.9,0.00111923,0.00109856,5.32905,0.484951,0.185157,0.000262915,0.00135532,0.000895944,0.000346717,0.00161896,0.000126804,0.00330633
16060093,24812,27445,2.4574e+06,337600,3,1,37833.4,18618.1,-9.60866,-1.35673,2.75904,0.00260421,42166.1,0.000296248,0.000877198,4.4291,0.720105,1.59129,41977,-3910.35,-25.0792,0.285315,3.06189,0.00267017,42166.9,0.000195193,0.00105255,5.54129,0.507761,0.141251,42203.7,0.00106503,0.000799396,5.40421,0.746383,0.589908,0.000211724,0.00163085,-0.000247749,0.000168862,0.00132938,-0.00102739,0.00335168
16060995,24812,27445,2.4574e+06,353200,4,1,-42092.5,2541.11,26.3261,-0.184408,-3.06884,-0.0019618,42166.1,0.000287872,0.00089259,4.19004,0.714293,4.46015,-36430.8,-21239.3,-0.518347,1.54871,-2.65575,-0.00331409,42166.9,0.000135111,0.00107806,5.30206,0.516425,4.13412,42203.4,0.000837484,0.00114376,2.81205,0.51708,6.03535,-0.000307719,-0.00134138,-0.000986234,-0.000374459,-0.00175394,-0.000203542,0.0034981
16062293,24812,27445,2.4574e+06,337600,3,1,35013.3,23499.1,-4.48521,-1.71258,2.5533,0.00280501,42166.1,0.0002913,0.00091857,4.44072,0.707154,1.72641,42123.9,1718.97,-21.4261,-0.125235,3.07259,0.00298036,42166.9,0.000194238,0.00109437,5.55035,0.523738,0.249886,42203.8,0.00106747,0.000805515,5.49888,0.723532,0.651876,0.000152202,0.00175682,-0.00034929,0.000129443,0.00135017,-0.00105787,0.00351777
16060645,24812,27445,2.4574e+06,353200,4,1,-19852,37212.7,36.4279,-2.71194,-1.44694,0.000611542,42166.1,0.00026282,0.000886321,4.2833,0.71652,3.34423,-37155.2,19948.8,38.1786,-1.4543,-2.70845,-0.00176115,42166.9,0.000122569,0.00107136,5.5701,0.513849,2.8481,42203.3,0.000745982,0.000926939,1.77402,0.861609,5.70842,-0.000687805,-0.00159561,0.000422258,-0.000557575,-0.00120704,0.00114891,0.00354534
21250843,26900,27380,2.4574e+06,337600,3,1,25167.5,-33813.2,-29.493,2.46736,1.83622,-0.000935028,42165.3,0.000339327,0.000762866,4.09632,1.04967,0.206241,3788.96,-41981.2,-23.512,3.06313,0.276796,-0.000357916,42165.5,0.000341206,0.000569815,4.83172,0.295795,5.95807,42202.9,0.00126512,0.000703618,4.34968,0.745501,0.257059,0.00156209,0.000196159,0.000706022,0.00128817,0.000907052,-0.000961138,0.00357094
