jd,x,y,z,xdot,ydot,zdot
2457400.47222222,41666.1728968623,6450.42308284881,-20.3129024647778,-0.469520763096873,3.03879201070637,0.00239275721722381
2457400.47612963,41495.0519434877,7474.26085959303,-19.4990334907417,-0.544177483156393,3.02629134172063,0.00242849777735672
2457400.48003704,41298.7815605331,8493.56861911354,-18.6733464898747,-0.618502750055217,3.01195678504037,0.00246276569817756
2457400.48394444,41077.4812556775,9507.72869016896,-17.8363421461085,-0.69245152267982,2.99579711105363,0.00249554027149681
2457400.48785185,40831.2857040341,10516.1265492622,-16.9885279816259,-0.765978992213664,2.97782219617062,0.0025268016965592
2457400.49175926,40560.3446651394,11518.1511930075,-16.1304180484941,-0.839040609288744,2.95804301663419,0.00255653109189923
2457400.49566667,40264.8228908031,12513.1955082955,-15.2625326163908,-0.911592110969845,2.936471641664,0.00258471050663383
2457400.49957407,39944.9000238795,13500.6566400315,-14.3853978566128,-0.983589547555152,2.91312122593929,0.00261132293118563
2457400.50348148,39600.7704880236,14479.9363562257,-13.4995455225622,-1.05498930917705,2.8880060014251,0.00263635230743083
2457400.50738889,39232.6433685029,15450.4414102132,-12.6055126269045,-1.12574815218708,2.8611412685475,0.00265978353826578
2457400.5112963,38840.7422841407,16411.5838997861,-11.7038411155957,-1.19582322530909,2.83254338672362,0.002681602496587
2457400.5152037,38425.305250471,17362.7816230204,-10.7950775389775,-1.26517209554498,2.80222976425271,0.00270179603367949
2457400.51911111,37986.5845341915,18303.458430583,-9.87977272014133,-1.33375277381738,2.77021884757481,0.00272035198700868
2457400.52301852,37524.8464990069,19233.044574307,-8.95848142076305,-1.40152374033395,2.73653010990405,0.00273725918741188
2457400.52692593,37040.3714429575,20150.9770518249,-8.03176200461152,-1.46844396965808,2.70118403924388,0.00275250746568506
2457400.53083333,36533.453427336,21056.6999470522,-7.10017609893626,-1.53447295547111,2.66420212579198,0.00276608765856156
2457400.53474074,36004.4000972989,21949.6647663178,-6.16428825393978,-1.59957073501115,2.62560684874284,0.00277799161407959
2457400.53864815,35453.5324942834,22829.3307699373,-5.22466560054129,-1.66369791317407,2.58542166249659,0.00278821219633557
2457400.54255556,34881.1848603478,23695.1652990326,-4.28187750663983,-1.72681568626235,2.54367098228265,0.00279674328962099
2457400.54646296,34287.7044345545,24546.6440973997,-3.33649523208508,-1.78888586536756,2.50038016920743,0.00280357980194073
2457400.55037037,33673.4512415242,25383.2516282331,-2.38909158256505,-1.84987089937275,2.45557551473554,0.00280871766791106
2457400.55427778,33038.7978722893,26204.4813855166,-1.44024056262033,-1.90973389756108,2.40928422461417,0.00281215385103622
2457400.55818518,32384.1292575839,27009.8361998946,-0.490517027994728,-1.9684386518174,2.36153440225086,0.00281388634536242
2457400.56209259,31709.8424337085,27798.8285388406,0.459503662467194,-2.02594965840963,2.31235503155494,0.00281391417650884
2457400.566,31016.3463011148,28570.9808009446,1.40924599516559,-2.08223213933717,2.26177595925342,0.00281223740207551
2457400.56990741,30304.0613758569,29325.8256041424,2.35813465012322,-2.13725206323377,2.20982787669238,0.00280885711142808
2457400.57381481,29573.4195340642,30062.9060677158,3.30559484918564,-2.19097616581267,2.15654230113501,0.00280377542486016
2457400.57772222,28824.8637495893,30781.776087897,4.25105270383369,-2.243371969842,2.10195155656807,0.00279699549213427
2457400.58162963,28058.8478249948,31482.0006069098,5.19393556239856,-2.29440780463872,2.04608875402846,0.00278852149040244
2457400.58553704,27275.8361160402,32163.1558752916,6.13367235647052,-2.34405282506992,1.98898777146219,0.00277835862150836
2457400.58944444,26476.3032498401,32824.8297073379,7.06969394629265,-2.3922770300502,1.930683233128,0.00276651310867309
2457400.59335185,25660.7338368633,33466.6217295177,8.00143346493199,-2.43905128052451,1.87121048855834,0.00275299219256656
2457400.59725926,24829.6221769497,34088.1436217149,8.92832666102108,-2.4843473169261,1.81060559109065,0.00273780412676787
2457400.60116667,23983.4719595232,34689.0193511491,9.8498122398642,-2.52813777609927,1.74890527598189,0.00272095817261727
2457400.60507407,23122.7959581831,35268.8853988412,10.7653322027035,-2.57039620767737,1.68614693811996,0.00270246459346352
2457400.60898148,22248.1157198603,35827.3909784873,11.6743321839413,-2.61109708990649,1.62236860934525,0.00268233464831022
2457400.61288889,21359.9612487251,36364.1982476124,12.5762617861168,-2.65021584490578,1.55760893539639,0.00266058058486551
2457400.6167963,20458.8706850405,36878.9825108801,13.4705749124361,-2.68772885335564,1.49190715249402,0.00263721563199947
2457400.6207037,19545.3899791537,37371.4324154373,14.3567300966565,-2.72361346860538,1.42530306357684,0.00261225399161426
2457400.62461111,18620.072560825,37841.2501381799,15.234190830128,-2.75784803019234,1.35783701420426,0.00258571082993199
2457400.62851852,17683.4790040918,38288.1515648291,16.1024258857959,-2.79041187676465,1.2895498681403,0.00255760226820609
2457400.63242593,16736.1766878726,38711.8664607122,16.960909638971,-2.82128535840042,1.22048298263332,0.00252794537286187
2457400.63633333,15778.7394525145,39112.1386331499,17.8091223846757,-2.85044984831629,1.15067818340653,0.00249675814507249
2457400.64024074,14811.747252492,39488.7260853528,18.6465506513771,-2.87788775395882,1.08017773937437,0.002464059509777
2457400.64414815,13835.7858054664,39841.4011617379,19.4726875109187,-2.9035825274723,1.00902433709981,0.00242986930414703
2457400.64805556,12851.446237917,40169.9506845814,20.2870328844666,-2.9275186755373,0.937261055007949,0.00239420826550952
2457400.65196296,11859.3247275587,40474.1760819253,21.0890938442879,-2.94968176857436,0.864931337371379,0.0023570980187328
2457400.65587037,10860.0221427592,40753.893506667,21.878384911181,-2.97005844930763,0.792078968082761,0.00231856106308385
2457400.65977778,9854.14367917476,41008.9339467594,22.6544283473802,-2.98863644068381,0.718748044230361,0.0022786207585647
2457400.66368518,8842.29849382147,41239.1433264597,23.416754444762,-3.00540455314198,0.644982949492258,0.00223730131173648
2457400.66759259,7825.0993368025,41444.3825985674,24.1649018081789,-3.02035269123027,0.570828327365073,0.00219462776103959
2457400.6715,6803.16218091229,41624.5278275991,24.8984176337545,-3.03347185956585,0.496329054243149,0.00215062596161908
2457400.67540741,5777.10584934008,41779.4702638513,25.6168579819731,-3.04475416813491,0.421530212364178,0.00210532256966424
2457400.67931481,4747.5516416958,41909.1164083096,26.3197880454012,-3.05419283692985,0.346477062637329,0.0020587450262721
