jd,x,y,z,xdot,ydot,zdot
2457400.47222222,41666.1728968623,6450.42308284881,-20.3129024647778,-0.46926774018038,3.04022379653281,0.002690247809198
2457400.47612963,41495.1374044219,7474.7441898731,-19.3986108357134,-0.543924096516551,3.02772276930042,0.00272589800793709
2457400.48003704,41298.9527374929,8494.53504339182,-18.4725621864005,-0.618248197405507,3.01338718265926,0.00275989489406652
2457400.48394444,41077.7386931128,9509.1777576032,-17.5353181718579,-0.692194892883463,2.99722588079308,0.00279221792265248
2457400.48785185,40831.6302716747,10518.0576208259,-16.5874472102055,-0.765719270269112,2.97924882252639,0.00282284757487829
2457400.49175926,40560.7775921426,11520.5634707265,-15.6295241342435,-0.838776681851792,2.95946707483738,0.00285176536980269
2457400.49566667,40265.3457979489,12516.088067239,-14.6621298391749,-0.911322772395661,2.93789280567481,0.00287895387545548
2457400.49957407,39945.5149536402,13504.0284629428,-13.685850926693,-0.98331350644195,2.91453927608434,0.00290439671926407
2457400.50348148,39601.4799323428,14483.7863706669,-12.7012793456641,-1.05470519539162,2.88942083165055,0.00292807859780483
2457400.50738889,39233.4502941243,15454.76852809,-11.7090120296326,-1.12545452435087,2.86255289326088,0.00294998528587377
2457400.5112963,38841.6501553351,16416.3870591095,-10.7096505313788,-1.1955185787223,2.83395194719877,0.00297010364487151
2457400.5152037,38426.3180490169,17368.0598317531,-9.70380065476344,-1.26485487052447,2.80363553457315,0.0029884216304979
2457400.51911111,37987.7067764756,18309.2108124115,-8.69207208409069,-1.33342136442323,2.7716222400924,0.0030049282997525
2457400.52301852,37526.0832501156,19239.2704161713,-7.67507801122582,-1.40117650345808,2.73793168019087,0.00301961381723701
2457400.52692593,37041.7283276433,20157.6758530318,-6.6534347607035,-1.46807923444736,2.70258449051692,0.00303246946075703
2457400.53083333,36534.9366377506,21063.8714697904,-5.6277614130635,-1.53408903305602,2.66560231279152,0.00304348762622025
2457400.53474074,36006.0163973935,21957.3090873877,-4.59867942665176,-1.59916592851053,2.62700778104709,0.00305266183182927
2457400.53864815,35455.2892207902,22837.4483335027,-3.56681225812537,-1.66327052794507,2.5868245072564,0.00305998672156744
2457400.54255556,34883.0899202634,23703.7569701951,-2.53278498190014,-1.72636404036415,2.54507706636215,0.00306545806797661
2457400.54646296,34289.7662990594,24555.7112163943,-1.49722390878004,-1.78840830020669,2.50179098071782,0.00306907277422637
2457400.55037037,33675.6789362825,25392.7960650372,-0.460756204007643,-1.84936579049702,2.45699270395093,0.00307082887547463
2457400.55427778,33041.2009640837,26214.5055946628,0.575990495025103,-1.90919966556859,2.41070960426028,0.00307072553952002
2457400.55818518,32386.7178372538,27020.3432752737,1.61238846116706,-1.96787377334675,2.36296994715902,0.00306876306674699
