jd,x,y,z,xdot,ydot,zdot
2457399.55671296,16202.5007707971,-9217.44701642289,16197.5415796187,0.186337267958929,1.90216897806538,-3.63190789211376
2457399.55698148,16206.7080531959,-9173.25096257881,16113.1658209338,0.176345081036586,1.90783905294233,-3.64186967154918
2457399.55725,16210.6825098583,-9128.92312665455,16028.5585821257,0.166265906619775,1.91352952159216,-3.65186309747094
2457399.55751852,16214.4221102767,-9084.46303416584,15943.7191274474,0.156098673036961,1.91924050029985,-3.66188830315043
2457399.55778704,16217.9247988777,-9039.87020792967,15858.646718075,0.145842291074049,1.92497210542689,-3.67194542056684
2457399.55805556,16221.1884946115,-8995.14416806286,15773.3406121387,0.135495653622255,1.93072445337854,-3.68203458031618
2457399.55832407,16224.211090532,-8950.28443198145,15687.8000647554,0.125057635317706,1.9364976605696,-3.6921559115165
2457399.55859259,16226.9904533697,-8905.29051440089,15602.024328065,0.114527092172549,1.94229184338838,-3.70230954170928
2457399.55886111,16229.5244230946,-8860.1619273371,15516.0126512674,0.103902861197356,1.94810711815894,-3.71249559675667
2457399.55912963,16231.8108124714,-8814.89818010841,15429.7642806633,0.0931837600145758,1.95394360110152,-3.72271420073454
2457399.55939815,16233.8474066048,-8769.49877933843,15343.2784596962,0.0823685864628048,1.95980140829102,-3.73296547582113
2457399.55966667,16235.6319624761,-8723.96322895995,15256.5544289988,0.0714561181916353,1.96568065561347,-3.74324954218107
2457399.55993519,16237.1622084696,-8678.29103021983,15169.5914264398,0.0604451122468171,1.97158145872043,-3.7535665178447
2457399.5602037,16238.4358438904,-8632.48168168498,15082.3886871762,0.0493343046454851,1.97750393298121,-3.76391651858241
2457399.56047222,16239.4505384706,-8586.53467924953,14994.9454437063,0.0381224099411782,1.98344819343279,-3.77429965777379
2457399.56074074,16240.2039318669,-8540.44951614307,14907.2609259269,0.0268081207783799,1.98941435472741,-3.78471604627145
2457399.56100926,16240.6936331469,-8494.22568294028,14819.334361194,0.0153901074362936,1.99540253107768,-3.79516579225922
2457399.56127778,16240.9172202646,-8447.86266757176,14731.1649743859,0.00386701736156679,2.00141283619903,-3.8056490011046
2457399.5615463,16240.8722395252,-8401.35995533624,14642.7519879706,-0.00776252531033918,2.00744538324961,-3.81616577520506
2457399.56181481,16240.556205039,-8354.71702891425,14554.0946220765,-0.019499920245438,2.01350028476723,-3.82671621382813
2457399.56208333,16239.9665981627,-8307.93336838331,14465.1920945669,-0.0313465914134861,2.01957765260347,-3.83730041294486
2457399.56235185,16239.1008669304,-8261.00845123456,14376.0436211184,-0.0433039876025505,2.02567759785471,-3.84791846505654
2457399.56262037,16237.9564254711,-8213.9417523912,14286.6484153037,-0.0553735829462167,2.03180023078989,-3.8585704590142
2457399.56288889,16236.5306534149,-8166.73274422847,14197.0056886781,-0.0675568774637782,2.03794566077507,-3.86925647983081
2457399.56315741,16234.8208952856,-8119.3808965956,14107.1146508712,-0.0798553976137641,2.04411399619439,-3.8799766084857
2457399.56342593,16232.824459881,-8071.88567683946,14016.9745096825,-0.0922706968611685,2.05030534436745,-3.890730921721
2457399.56369444,16230.53861964,-8024.2465498303,13926.5844711823,-0.104804356258759,2.05651981146292,-3.9015194918297
2457399.56396296,16227.9606099948,-7976.46297798946,13835.9437398175,-0.11745798504285,2.06275750240814,-3.91234238643497
2457399.56423148,16225.0876287109,-7928.53442131931,13745.0515185225,-0.130233221243938,2.06901852079465,-3.92319966826047
2457399.5645,16221.9168352112,-7880.4603374353,13653.9070088357,-0.143131732312608,2.07530296877932,-3.93409139489116
2457399.56476852,16218.4453498864,-7832.24018160051,13562.5094110213,-0.156155215761136,2.08161094698108,-3.94501761852427
2457399.56503704,16214.6702533899,-7783.87340676253,13470.8579241978,-0.169305399821209,2.08794255437287,-3.95597838571001
2457399.56530556,16210.5885859172,-7735.35946359294,13378.9517464717,-0.182584044118223,2.09429788816871,-3.96697373708159
2457399.56557407,16206.1973464696,-7686.69780052952,13286.7900750782,-0.195992940362609,2.10067704370563,-3.97800370707407
2457399.56584259,16201.4934921018,-7637.88786382118,13194.3721065283,-0.209533913058651,2.10708011432026,-3.98906832363164
2457399.56611111,16196.4739371525,-7588.92909757587,13101.6970367629,-0.2232088202313,2.1135071912198,-4.00016760790273
2457399.56637963,16191.1355524584,-7539.82094381153,13008.7640613142,-0.23701955417146,2.11995836334718,-4.01130157392251
2457399.56664815,16185.4751645499,-7490.56284251025,12915.5723754744,-0.250968042200277,2.12643371724003,-4.02247022828223
2457399.56691667,16179.4895548299,-7441.15423167576,12822.1211744726,-0.265056247452943,2.13293333688342,-4.03367356978484
