jd,x,y,z,xdot,ydot,zdot
2457399.55671296,16202.5007707971,-9217.44701642289,16197.5415796187,0.160647852430592,1.9660510433939,-3.65481175891919
2457399.55698148,16206.1120541021,-9171.76889875006,16112.6344464348,0.150655062585581,1.97172110682447,-3.66477415812067
2457399.55725,16209.4904835308,-9125.95899955822,16027.4958043034,0.140574060469679,1.97741153766776,-3.67476945105563
2457399.55751852,16212.6339998268,-9080.01684503624,15942.1248884067,0.130403745533775,1.98312244687311,-3.68479778263361
2457399.55778704,16215.5405179909,-9033.9419588001,15856.5209305787,0.120142999032079,1.98885394528194,-3.69485929655808
2457399.55805556,16218.2079268541,-8987.7338618959,15770.6831593346,0.109790683653566,1.99460614358878,-3.70495413523384
2457399.55832407,16220.634088643,-8941.39207280372,15684.6107999016,0.0993456431446897,2.00037915230046,-3.71508243967042
2457399.55859259,16222.8168385356,-8894.91610744248,15598.3030742527,0.0888067019231524,2.00617308169338,-3.72524434938147
2457399.55886111,16224.7539842083,-8848.30547917579,15511.7592011425,0.0781726646824693,2.01198804176867,-3.73544000227988
2457399.55912963,16226.4433053736,-8801.55969881886,15424.9783961458,0.0674423159871008,2.01782414220541,-3.74566953456847
2457399.55939815,16227.8825533086,-8754.67827464657,15337.9598716982,0.0566144198578897,2.02368149231152,-3.75593308062614
2457399.55966667,16229.0694503733,-8707.66071240266,15250.7028371402,0.0456877193475459,2.02956020097244,-3.76623077288917
2457399.55993519,16230.0016895189,-8660.50651531013,15163.2064987634,0.0346609361059103,2.03546037659745,-3.77656274172761
2457399.5602037,16230.6769337864,-8613.21518408295,15075.4700598601,0.023532769934724,2.04138212706342,-3.78692911531647
2457399.56047222,16231.0928157944,-8565.7862169391,14987.4927207755,0.0123018983316167,2.04732555965609,-3.79733001950147
2457399.56074074,16231.2469372162,-8518.21910961498,14899.2736789638,0.000966976023025224,2.05329078100856,-3.80776557765929
2457399.56100926,16231.1368682459,-8470.51335538128,14810.8121290468,-0.010473365514259,2.05927789703702,-3.81823591055181
2457399.56127778,16230.7601470537,-8422.66844506039,14722.1072628763,-0.0220205185432239,2.06528701287352,-3.82874113617443
2457399.5615463,16230.1142792287,-8374.68386704544,14633.1582696005,-0.0336758995687668,2.07131823279568,-3.83928136959795
2457399.56181481,16229.1967372113,-8326.55910732091,14543.9643357332,-0.0454409498521503,2.07737166015323,-3.84985672280384
2457399.56208333,16228.004959712,-8278.29364948508,14454.5246452278,-0.0573171359381188,2.08344739729118,-3.86046730451274
2457399.56235185,16226.5363511194,-8229.88697477425,14364.8383795549,-0.0693059501950224,2.08954554546958,-3.87111322000565
2457399.56262037,16224.7882808938,-8181.33856208889,14274.9047177845,-0.0814089113683056,2.09566620477955,-3.88179457093779
2457399.56288889,16222.7580829495,-8132.64788802173,14184.7228366717,-0.0936275651477257,2.10180947405568,-3.89251145514459
