transfer_id,departure_object_id,arrival_object_id,departure_epoch,time_of_flight,revolutions,prograde,departure_position_x,departure_position_y,departure_position_z,departure_velocity_x,departure_velocity_y,departure_velocity_z,departure_semi_major_axis,departure_eccentricity,departure_inclination,departure_argument_of_periapsis,departure_longitude_of_ascending_node,departure_true_anomaly,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_semi_major_axis,arrival_eccentricity,arrival_inclination,arrival_argument_of_periapsis,arrival_longitude_of_ascending_node,arrival_true_anomaly,transfer_semi_major_axis,transfer_eccentricity,transfer_inclination,transfer_argument_of_periapsis,transfer_longitude_of_ascending_node,transfer_true_anomaly,departure_delta_v_x,departure_delta_v_y,departure_delta_v_z,arrival_delta_v_x,arrival_delta_v_y,arrival_delta_v_z,transfer_delta_v
14441079,20884,16615,2.4574e+06,9400,1,0,-2066.76,-5692.04,-3975.46,0.0847133,4.20375,-6.09731,7221.74,0.003994,1.72435,1.27724,1.32428,2.45311,1946,4360.53,5335.27,-0.669629,-5.64441,4.83391,7160.59,0.0023506,1.72232,2.39439,1.32249,4.74259,7205.27,0.00676315,1.72319,1.23783,1.3235,2.4924,0.00648487,-0.0164494,-0.000879481,-0.00707325,0.0206343,-0.0125264,0.0428571
14441282,20884,16615,2.4574e+06,10300,1,0,1093.94,-163.29,7106.37,-1.79494,-7.23342,0.11548,7209.38,0.00252364,1.72448,1.26854,1.32516,0.28729,1320.55,6669.34,-2301.82,1.61977,2.07392,6.96686,7168.91,0.00175794,1.72223,2.03656,1.32363,3.91625,7183.98,0.0012263,1.72444,5.14262,1.32286,2.69605,-0.0132496,0.0168483,0.00102948,-0.0213453,-0.0126273,0.00039219,0.0462625
14441229,20884,16615,2.4574e+06,9400,1,0,2052.88,5930.46,3537.17,0.0505872,-3.85117,6.37517,7222.9,0.00434198,1.72434,1.44324,1.32488,5.35991,-1954.24,-4435.79,-5285.48,0.632093,5.56119,-4.91635,7160.79,0.00214715,1.72232,1.63252,1.32309,2.35043,7186.36,0.00257751,1.72344,3.33446,1.32436,3.46862,-0.00193352,0.0276289,-0.00536421,0.0109701,-0.0128392,0.00699658,0.0464906
14441283,20884,16615,2.4574e+06,10600,1,0,1093.94,-163.29,7106.37,-1.79494,-7.23342,0.11548,7209.38,0.00252364,1.72448,1.26854,1.32516,0.28729,1735.03,6960.18,-134.356,1.12084,-0.151474,7.36554,7170.81,0.00192331,1.72221,1.81972,1.32364,4.44452,7183.45,0.00171995,1.72446,5.50989,1.3236,2.32889,-0.00721762,0.0156999,0.00550609,-0.0225214,-0.0177516,-0.00352047,0.0470272
14441125,20884,16615,2.4574e+06,8200,1,0,-1007.66,540.452,-7159.24,1.84398,7.15458,0.287377,7209.5,0.0056882,1.72448,1.44943,1.32458,3.30139,2036.95,5387.14,4259.99,-0.236585,-4.5846,5.87986,7164.31,0.00246567,1.72228,2.18147,1.32245,4.74717,7207.61,0.00676245,1.7245,1.09541,1.32414,3.65534,0.00530085,-0.00309407,0.0172333,-0.0182201,0.0213476,-0.01243,0.0489889
14441230,20884,16615,2.4574e+06,9700,1,0,2052.88,5930.46,3537.17,0.0505872,-3.85117,6.37517,7222.9,0.00434198,1.72434,1.44324,1.32488,5.35991,-1673.7,-2580.97,-6481.85,1.22275,6.70367,-2.99574,7155.78,0.00295277,1.72237,1.60714,1.32318,2.68725,7186.3,0.0025286,1.7227,3.41045,1.32394,3.39256,-0.00754108,0.0303901,-0.00370531,0.00440465,-0.0140202,0.00985933,0.0492269
14441032,20884,16615,2.4574e+06,10300,1,0,-1141.79,-6452.8,3021.82,-1.77296,-2.83287,-6.64294,7224.1,0.00443225,1.72432,1.37801,1.32425,1.32602,2002.31,4900.36,4823.8,-0.455561,-5.1423,5.38613,7162.47,0.00242823,1.7223,2.28609,1.32247,4.7467,7207.55,0.00645912,1.72423,0.939916,1.32429,1.76411,0.000356103,-0.0105259,0.0139511,-0.0200603,0.0146351,-0.0199479,0.0493317
14441080,20884,16615,2.4574e+06,9700,1,0,-2066.76,-5692.04,-3975.46,0.0847133,4.20375,-6.09731,7221.74,0.003994,1.72435,1.27724,1.32428,2.45311,1654.24,2483.71,6503.23,-1.25959,-6.76594,2.88891,7155.59,0.00189291,1.72237,2.71323,1.32258,4.73656,7205.19,0.00697156,1.72259,1.27288,1.32309,2.45729,0.0108905,-0.0196253,-0.00293783,-0.00168519,0.0212594,-0.0171827,0.050023
14441031,20884,16615,2.4574e+06,10000,1,0,-1141.79,-6452.8,3021.82,-1.77296,-2.83287,-6.64294,7224.1,0.00443225,1.72432,1.37801,1.32425,1.32602,2039.96,6181.18,3000.33,0.206546,-3.32721,6.67105,7167.6,0.00242089,1.72224,1.9941,1.32243,4.72635,7207.37,0.0063017,1.7252,0.931211,1.32383,1.77275,-0.00705687,-0.00747444,0.0147343,-0.0228012,0.0186232,-0.01293,0.05012
14441224,20884,16615,2.4574e+06,7900,1,0,2052.88,5930.46,3537.17,0.0505872,-3.85117,6.37517,7222.9,0.00434198,1.72434,1.44324,1.32488,5.35991,-625.424,-5379.64,4671.75,-2.032,-4.58468,-5.53745,7162.96,0.00191315,1.72229,1.72686,1.32298,0.692924,7197.26,0.00632984,1.7218,2.24303,1.32342,4.5599,-0.0268189,-0.00507473,-0.018358,8.09456e-05,0.0114198,0.0144321,0.051298
