transfer_id,departure_object_id,arrival_object_id,departure_epoch,time_of_flight,revolutions,prograde,departure_position_x,departure_position_y,departure_position_z,departure_velocity_x,departure_velocity_y,departure_velocity_z,departure_semi_major_axis,departure_eccentricity,departure_inclination,departure_argument_of_periapsis,departure_longitude_of_ascending_node,departure_true_anomaly,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_semi_major_axis,arrival_eccentricity,arrival_inclination,arrival_argument_of_periapsis,arrival_longitude_of_ascending_node,arrival_true_anomaly,transfer_semi_major_axis,transfer_eccentricity,transfer_inclination,transfer_argument_of_periapsis,transfer_longitude_of_ascending_node,transfer_true_anomaly,departure_delta_v_x,departure_delta_v_y,departure_delta_v_z,arrival_delta_v_x,arrival_delta_v_y,arrival_delta_v_z,transfer_delta_v
1252289,20439,20440,2.4574e+06,12400,2,0,4731.42,-5355.72,-517.769,-0.481002,-1.13616,7.35703,7167.24,0.000304366,1.72012,6.21562,5.42507,6.27761,4364.09,-5433.12,1665.44,-1.96241,0.625187,7.16865,7165.06,0.000409088,1.7198,1.80198,5.42499,4.71847,7177.04,0.00169147,1.72015,0.0887592,5.42507,6.12128,-0.00184371,0.000576949,0.00512756,0.000669501,0.00495991,-0.00672528,0.0138626
1251989,20439,20440,2.4574e+06,12400,2,0,4705.3,-5397.04,-264.116,-0.658579,-0.934561,7.3717,7167.32,0.000320496,1.72012,0.0754566,5.42387,6.17044,4290.63,-5414.57,1899.7,-2.1156,0.820731,7.10505,7164.76,0.000443718,1.7198,1.89211,5.42379,4.66251,7177.69,0.00179423,1.72011,0.147393,5.42387,6.09851,-0.00185265,0.00102238,0.00541562,0.000709317,0.00454148,-0.00736454,0.0144956
1251689,20439,20440,2.4574e+06,12400,2,0,4673.05,-5431.36,-10.1199,-0.834829,-0.731325,7.37686,7167.34,0.000334772,1.72012,0.210003,5.42267,6.07175,4212.22,-5389.53,2131.74,-2.26585,1.01567,7.03313,7164.42,0.000478487,1.71981,1.98255,5.42258,4.60623,7178.34,0.00189902,1.72007,0.203431,5.42267,6.07833,-0.00187259,0.00148466,0.00570987,0.00077759,0.00407863,-0.0080041,0.0152067
1251389,20439,20440,2.4574e+06,12400,2,0,4634.71,-5458.61,243.891,-1.00952,-0.526722,7.37251,7167.32,0.000346897,1.72012,0.339316,5.42146,5.9783,4128.96,-5358,2361.28,-2.41298,1.20977,6.95297,7164.05,0.000513609,1.71981,2.07303,5.42138,4.54992,7178.99,0.00200564,1.72002,0.257161,5.42146,6.06045,-0.00190485,0.00196502,0.00600906,0.000874345,0.00357082,-0.00863969,0.0159923
1252287,20439,20440,2.4574e+06,11800,1,0,4731.42,-5355.72,-517.769,-0.481002,-1.13616,7.35703,7167.24,0.000304366,1.72012,6.21562,5.42507,6.27761,4641.67,-4757.54,-2676.07,1.06713,-2.80299,6.82793,7163.48,0.000396167,1.71982,3.65702,5.42498,2.23889,7176.83,0.00164918,1.71946,6.09964,5.42512,0.11041,0.00426796,0.00140623,0.00553941,-1.60925e-05,-0.00243376,-0.00856995,0.0160417
1251987,20439,20440,2.4574e+06,11800,1,0,4705.3,-5397.04,-264.116,-0.658579,-0.934561,7.3717,7167.32,0.000320496,1.72012,0.0754566,5.42387,6.17044,4668.13,-4852.33,-2450.46,0.898254,-2.63323,6.91939,7163.89,0.000337654,1.71981,3.74771,5.42378,2.18236,7177.47,0.00173998,1.7195,6.15153,5.42389,0.0943711,0.00398987,0.00121352,0.0058415,0.000480204,-0.00244968,-0.00859197,0.0161246
1251687,20439,20440,2.4574e+06,11800,1,0,4673.05,-5431.36,-10.1199,-0.834829,-0.731325,7.37686,7167.34,0.000334772,1.72012,0.210003,5.42267,6.07175,4688.93,-4941.51,-2221.98,0.728718,-2.45997,7.00276,7164.28,0.000281442,1.71981,3.84977,5.42258,2.11446,7178.11,0.00183236,1.71954,6.20155,5.42267,0.0802102,0.00369308,0.00103154,0.00616954,0.000973148,-0.00246313,-0.00861357,0.0162756
1251387,20439,20440,2.4574e+06,11800,1,0,4634.71,-5458.61,243.891,-1.00952,-0.526722,7.37251,7167.32,0.000346897,1.72012,0.339316,5.42146,5.9783,4704.05,-5024.98,-1990.9,0.558733,-2.28341,7.07794,7164.63,0.000227849,1.71981,3.96931,5.42138,2.02908,7178.74,0.00192626,1.71958,6.24985,5.42144,0.0677576,0.0033761,0.000863035,0.00652278,0.00146287,-0.00247473,-0.00863649,0.0164976
1251087,20439,20440,2.4574e+06,11800,1,0,4590.36,-5478.75,497.589,-1.18242,-0.321021,7.35864,7167.25,0.000356778,1.72012,0.466024,5.42026,5.88745,4713.49,-5102.62,-1757.49,0.388505,-2.10375,7.14484,7164.94,0.00017736,1.7198,4.1183,5.42018,1.91425,7179.38,0.00202158,1.71962,0.0134152,5.42022,0.0568671,0.00303753,0.00071074,0.00690012,0.00194963,-0.00248523,-0.0086624,0.0167929
1251089,20439,20440,2.4574e+06,12400,2,0,4590.36,-5478.75,497.589,-1.18242,-0.321021,7.35864,7167.25,0.000356778,1.72012,0.466024,5.42026,5.88745,4040.96,-5320.02,2588.06,-2.55681,1.4028,6.86468,7163.65,0.000549271,1.71982,2.16325,5.42018,4.49387,7179.64,0.00211392,1.71998,0.308829,5.42025,6.04464,-0.00195069,0.00246469,0.00631166,0.000999378,0.00301776,-0.00926697,0.0168481
