transfer_id_x,departure_object_id_x,arrival_object_id_x,departure_epoch_x,time_of_flight_x,revolutions_x,transfer_delta_v_x,atom_transfer_delta_v_x,atom_dv_ranking,combo,transfer_id_y,departure_object_id_y,arrival_object_id_y,departure_epoch_y,time_of_flight_y,revolutions_y,transfer_delta_v_y,atom_transfer_delta_v_y,lambert_dv_ranking
9032484,10155,11909,2457399.55671,23200.0,0,0.230147970689,0.231099636415,1.0,10155-11909,9032484,10155,11909,2457399.55671,23200.0,0,0.230147970689,0.231099636415,1.0
12219982,11909,10155,2457399.55671,22400.0,0,0.233290581539,0.232403904428,2.0,11909-10155,12219982,11909,10155,2457399.55671,22400.0,0,0.233290581539,0.232403904428,2.0
12460000,12159,9980,2457399.55671,29600.0,0,0.3465641144,0.341592736414,3.0,12159-9980,12460000,12159,9980,2457399.55671,29600.0,0,0.3465641144,0.341592736414,3.0
8292494,9980,12159,2457399.55671,27200.0,0,0.363164012056,0.365316493115,4.0,9980-12159,8292495,9980,12159,2457399.55671,27600.0,0,0.363099672949,0.36542737215,4.0
6615000,8621,15387,2457399.55671,29600.0,0,0.426571861173,0.429586407923,5.0,8621-15387,6615000,8621,15387,2457399.55671,29600.0,0,0.426571861173,0.429586407923,5.0
5245041,8018,7800,2457399.5,26000.0,0,0.54586423813,0.54628153016,6.0,8018-7800,5245041,8018,7800,2457399.5,26000.0,0,0.54586423813,0.54628153016,6.0
4752531,7800,8018,2457399.5,22000.0,0,0.554939349577,0.554168404607,7.0,7800-8018,4752531,7800,8018,2457399.5,22000.0,0,0.554939349577,0.554168404607,7.0
12442996,12159,8701,2457399.51042,28000.0,0,0.580424305293,0.581529629525,8.0,12159-8701,12442847,12159,8701,2457399.50694,28400.0,0,0.580370181324,0.58154514876,8.0
6806288,8701,12159,2457399.52894,24800.0,0,0.623160766224,0.620708173997,9.0,8701-12159,6806288,8701,12159,2457399.52894,24800.0,0,0.623160766224,0.620708173997,9.0
6917500,8701,17081,2457399.55671,29600.0,0,0.659099977448,0.658663903922,10.0,8701-17081,6917500,8701,17081,2457399.55671,29600.0,0,0.659099977448,0.658663903922,10.0
21932945,16294,13971,2457399.50926,27600.0,0,0.695220923302,0.691457931652,11.0,16294-13971,21932945,16294,13971,2457399.50926,27600.0,0,0.695220923302,0.691457931652,11.0
19876243,15832,9330,2457399.52778,26800.0,0,0.708797812731,0.713030634686,12.0,15832-9330,19876293,15832,9330,2457399.52894,26800.0,0,0.708769197379,0.713095015847,12.0
7622598,9330,15832,2457399.50116,28800.0,0,0.729251861684,0.72282191203,13.0,9330-15832,7622548,9330,15832,2457399.5,28800.0,0,0.729242798907,0.722907086008,13.0
15450020,14135,10976,2457399.5,17600.0,0,0.732644529479,0.730024822721,14.0,14135-10976,15450020,14135,10976,2457399.5,17600.0,0,0.732644529479,0.730024822721,14.0
17887489,15387,8621,2457399.55671,25200.0,0,0.744305882158,0.738899449286,15.0,15387-8621,17887489,15387,8621,2457399.55671,25200.0,0,0.744305882158,0.738899449286,16.0
9277500,10167,11888,2457399.55671,29600.0,0,0.741318767138,0.74046290521,16.0,10167-11888,9277500,10167,11888,2457399.55671,29600.0,0,0.741318767138,0.74046290521,15.0
10547533,10976,14135,2457399.5,22800.0,0,0.757618998574,0.754209355734,17.0,10976-14135,10547533,10976,14135,2457399.5,22800.0,0,0.757618998574,0.754209355734,17.0
24402550,18949,13882,2457399.5,29600.0,0,0.807132600169,0.806434098843,18.0,18949-13882,24402550,18949,13882,2457399.5,29600.0,0,0.807132600169,0.806434098843,18.0
23334991,17081,8701,2457399.55671,26000.0,0,0.817662342434,0.817790973882,19.0,17081-8701,23334991,17081,8701,2457399.55671,26000.0,0,0.817662342434,0.817790973882,19.0
20060789,15836,4069,2457399.51736,25200.0,0,0.81994582771,0.821727049695,20.0,15836-4069,20060789,15836,4069,2457399.51736,25200.0,0,0.81994582771,0.821727049695,20.0
20974600,15876,15388,2457399.54745,29600.0,0,0.827211468986,0.829215432351,21.0,15876-15388,20974600,15876,15388,2457399.54745,29600.0,0,0.827211468986,0.829215432351,21.0
12609750,12159,17081,2457399.55093,29600.0,0,0.831872037342,0.8323766877,22.0,12159-17081,12609750,12159,17081,2457399.55093,29600.0,0,0.831872037342,0.8323766877,22.0
14847500,13882,18949,2457399.55671,29600.0,0,0.851856727907,0.852324916243,23.0,13882-18949,14847500,13882,18949,2457399.55671,29600.0,0,0.851856727907,0.852324916243,23.0
4459997,7545,1318,2457399.55671,28400.0,0,0.865850425773,0.864107321173,24.0,7545-1318,4459997,7545,1318,2457399.55671,28400.0,0,0.865850425773,0.864107321173,27.0
4777544,7800,9850,2457399.5,27200.0,0,0.864134688762,0.864325674034,25.0,7800-9850,4777544,7800,9850,2457399.5,27200.0,0,0.864134688762,0.864325674034,25.0
