jd,x,y,z,xdot,ydot,zdot
2457401.42135417,1402.09602772976,-6408.14733708058,2656.6349712463,7.04865932337732,0.857760321833109,-2.71943496648463
2457401.42164248,1577.16786953832,-6384.54442624776,2587.97368411497,7.0068424977763,1.03731037760762,-2.79304436462369
2457401.42193079,1751.13461438589,-6356.46832284839,2517.49921826759,6.95993069189732,1.21688579695899,-2.86500175703189
2457401.4222191,1923.86925657359,-6323.92011283042,2445.253589387,6.9079174728939,1.39634830136693,-2.93523783281269
2457401.42250741,2095.24468843734,-6286.9043531593,2371.28053353361,6.85080110935221,1.57555750613648,-3.00368379315134
2457401.42279572,2265.13381911576,-6245.42912264029,2295.62549305038,6.78858470333101,1.75437105386223,-3.07027145931685
2457401.42308403,2433.40969654057,-6199.50606929713,2218.33559974143,6.72127631694215,1.93264475745902,-3.13493338353025
2457401.42337234,2599.94563250515,-6149.15045406887,2139.4596552556,6.64888909280197,2.11023275272559,-3.19760296246415
2457401.42366065,2764.61533065018,-6094.3811905884,2059.04810861257,6.5714413676775,2.28698766036278,-3.25821455311464
2457401.42394896,2927.29301718846,-6035.22088080867,1977.15303081606,6.48895677864827,2.46276075732116,-3.31670359076291
2457401.42423727,3087.85357417389,-5971.69584624606,1893.82808650569,6.40146436110575,2.6374021573048,-3.3730067087207
2457401.42452558,3246.17267510301,-5903.83615461574,1809.12850260711,6.30899863791714,2.81076100020738,-3.42706185953115
2457401.42481389,3402.12692262061,-5831.67564163965,1723.11103394858,6.21159969908952,2.98268565020555,-3.47880843727417
2457401.4251022,3555.59398808477,-5755.25192781559,1635.83392582097,6.10931327128442,3.15302390218203,-3.52818740060503
2457401.42539051,3706.45275273042,-5674.60642994432,1547.35687346775,6.00219077655052,3.32162319609753,-3.57514139613441
2457401.42567882,3854.58345015533,-5589.78436722226,1457.74097850163,5.89028937966594,3.48833083887732,-3.61961488174002
2457401.42596713,3999.86780983754,-5500.83476171827,1367.0487022547,5.77367202350887,3.65299423332458,-3.661554249383
2457401.42625544,4142.18920137891,-5407.81043306634,1275.34381608004,5.65240745190826,3.81546111351999,-3.70090794698703
2457401.42654375,4281.43277915667,-5310.76798721971,1182.69134863362,5.52657021946383,3.97557978611482,-3.73762659892536
2457401.42683206,4417.48562705243,-5209.76779912769,1089.15753017708,5.39624068786681,4.1331993768742,-3.77166312464998
2457401.42712037,4550.23690291683,-5104.87398921273,994.809733953514,5.26150500830001,4.28817008177836,-3.8029728549888
2457401.42740868,4679.5779824187,-4996.15439354347,899.71641470027,5.1224550895473,4.44034342194343,-3.83151364563116
2457401.42769699,4805.4026019183,-4883.68052761823,803.947044374909,4.97918855149861,4.58957250157925,-3.85724598731873
2457401.4279853,4927.60699999799,-4767.52754369339,707.572045182318,4.83180866379641,4.73571226816156,-3.88013311225891
2457401.42827361,5046.09005727727,-4647.77418161223,610.662720003114,4.68042426943351,4.87861977395898,-3.90014109628103
2457401.42856192,5160.75343413602,-4524.50271311145,513.291180335286,4.52514969317924,5.01815443802261,-3.91723895626136
2457401.42885023,5271.50170596698,-4397.79887960538,415.530271872741,4.36610463478125,5.15417830771814,-3.93139874235248
2457401.42913854,5378.24249557842,-4267.75182347073,317.453497855824,4.20341404696309,5.28655631885709,-3.94259562456524
2457401.42942685,5480.88660236921,-4134.45401287907,219.134940339983,4.03720799831235,5.41515655346626,-3.95080797326703
2457401.42971516,5579.34812790207,-3998.00116024763,120.649179539322,3.86762152123092,5.53985049422204,-3.95601743317948
2457401.43000347,5673.54459750557,-3858.49213440393,22.0712114119833,3.69479444519583,5.66051327457043,-3.95820899048062
2457401.43029178,5763.39707754308,-3716.02886658379,-76.5236363362609,3.51887121565732,5.77702392355297,-3.95737103264227
2457401.43058009,5848.83028799574,-3570.71625040676,-175.059789644896,3.34000069897787,5.88926560436556,-3.95349540066134
2457401.4308684,5929.77271001737,-3422.66203599718,-273.461514694657,3.15833597389279,5.99712584568926,-3.94657743337516
