jd,x,y,z,xdot,ydot,zdot
2457401.42135417,-5191.92010808361,-3778.22317087494,3549.35769723054,4.61628852978481,-5.64352338821435,0.820697749737569
2457401.42142557,-5163.34006126038,-3812.96847456324,3554.35283935178,4.6485275306898,-5.61988975633047,0.798581789871786
2457401.42149698,-5134.56167301739,-3847.56730922111,3559.21144672888,4.68058503703611,-5.59604240822613,0.77643716991339
2457401.42156839,-5105.58606669364,-3882.01835917556,3563.93334510883,4.71245988421812,-5.5719822734077,0.754264722245962
2457401.42163979,-5076.41437279209,-3916.32031451034,3568.51836537618,4.7441509144948,-5.54771028854346,0.732065279930111
2457401.4217112,-5047.0477289372,-3950.47187111006,3572.96634355712,4.77565697702043,-5.52322739742899,0.709839676677064
2457401.42178261,-5017.4872798323,-3984.47173070402,3577.2771208234,4.8069769278751,-5.49853455095251,0.687588746822287
2457401.42185402,-4987.73417721677,-4018.31860090989,3581.45054349614,4.83810963009509,-5.47363270706007,0.665313325299138
2457401.42192542,-4957.78957982302,-4052.01119527715,3585.4864630494,4.86905395370291,-5.44852283072067,0.643014247612557
2457401.42199683,-4927.65465333331,-4085.54823333026,3589.38473611364,4.89980877573722,-5.4232058938913,0.620692349812779
2457401.42206824,-4897.33057033639,-4118.92844061172,3593.14522447902,4.93037298028253,-5.39768287548177,0.598348468469087
2457401.42213964,-4866.81851028387,-4152.15054872486,3596.76779509849,4.96074545849863,-5.37195476131964,0.575983440643593
2457401.42221105,-4836.11965944656,-4185.21329537634,3600.25232009076,4.99092510864991,-5.34602254411482,0.553598103865049
2457401.42228246,-4805.2352108705,-4218.11542441859,3603.59867674311,5.02091083613442,-5.31988722342427,0.531193296102696
2457401.42235387,-4774.16636433285,-4250.85568589189,3606.80674751402,5.0507015535127,-5.2935498056165,0.50876985574014
2457401.42242527,-4742.91432629767,-4283.43283606629,3609.87642003564,5.08029618053643,-5.26701130383599,0.48632862154926
2457401.42249668,-4711.48030987141,-4315.84563748334,3612.80758711612,5.10969364417695,-5.24027273796753,0.463870432664156
2457401.42256809,-4679.86553475829,-4348.09285899752,3615.60014674174,5.13889287865342,-5.21333513460049,0.441396128555116
