jd,x,y,z,xdot,ydot,zdot
2457401.42135417,1402.09602772976,-6408.14733708058,2656.6349712463,7.04865932337732,0.857760321833109,-2.71943496648463
2457401.42142559,1445.56244311485,-6402.71682984881,2639.79750756039,7.03876878815141,0.902246193016208,-2.7378725799751
2457401.42149701,1488.96686674131,-6397.01177452536,2622.84658703761,7.02856582206779,0.946740382197414,-2.75621193657249
2457401.42156844,1532.30735619872,-6391.03212803146,2605.78282488015,7.01805024495133,0.991240814612352,-2.77445196447219
2457401.42163986,1575.58199610915,-6384.77785623941,2588.606831835,7.00722188675801,1.03574543556873,-2.79259160497299
2457401.42171128,1618.78884904359,-6378.24894069789,2571.31923349597,6.99608059951025,1.08025216007652,-2.81062979184227
2457401.42178271,1661.92597674129,-6371.44537597921,2553.920662083,6.98462625254748,1.12475889458237,-2.82856546035138
2457401.42185413,1704.99146114277,-6364.36716622317,2536.41174789117,6.97285872686031,1.16926355872342,-2.8463975560204
2457401.42192555,1747.98336255002,-6357.01433180458,2518.79313619919,6.9607779263598,1.21376404216087,-2.86412501727516
2457401.42199698,1790.89974076265,-6349.38690627645,2501.0654788792,6.9483837726667,1.25825822633815,-2.88174678434319
2457401.4220684,1833.73867599117,-6341.48493251301,2483.22942568957,6.93567619898836,1.30274400621981,-2.89926180784139
2457401.42213982,1876.49822724211,-6333.30847017483,2465.28564149844,6.92265516229659,1.34721924715219,-2.91666903174391
2457401.42221125,1919.17645334834,-6324.8575922501,2447.23479773226,6.90932063765843,1.3916818066216,-2.93396740212786
2457401.42228267,1961.7714337706,-6316.13238079417,2429.07756350871,6.89567261165071,1.43612955598607,-2.95115587560613
2457401.42235409,2004.28122721067,-6307.13293519412,2410.81462317497,6.88171109545062,1.48056033736746,-2.96823340260953
2457401.42242552,2046.70389253364,-6297.85936830712,2392.44666759536,6.86743611870546,1.52497198540703,-2.9851989359802
2457401.42249694,2089.03750944828,-6288.31180179671,2373.97438512749,6.85284772248468,1.56936234897967,-3.00205143924447
2457401.42256836,2131.28013736214,-6278.49037519692,2355.39847947078,6.83794597328413,1.61372924813317,-3.01878987021715
2457401.42263979,2173.42983619721,-6268.39524164543,2336.71966079168,6.82273095643075,1.65807049584208,-3.03541318944189
2457401.42271121,2215.48468692213,-6258.02656282131,2317.93863655408,6.80720276857836,1.70238391967588,-3.05192036829207
2457401.42278263,2257.44275068989,-6247.38451880207,2299.05612966169,6.79136153261664,1.74666731882899,-3.06831037291571
2457401.42285406,2299.30208951339,-6236.46930339768,2280.07286943457,6.77520739061916,1.79091848583766,-3.08458217250818
2457401.42292548,2341.06078666289,-6225.28111868542,2260.98958228749,6.75874049587557,1.835135228215,-3.10073474724518
2457401.4229969,2382.71689934422,-6213.82018754148,2241.80701328367,6.74196103145421,1.87931531841721,-3.11676706998219
2457401.42306833,2424.26851294776,-6202.08673917689,2222.52590137777,6.72486918896727,1.9234565513079,-3.13267812730099
2457401.42313975,2465.71369387775,-6190.08102206485,2203.14700111297,6.70746518758561,1.96755669418216,-3.14846690138553
2457401.42321117,2507.05051000033,-6177.80329860489,2183.67107334571,6.68974926621699,2.01161350842633,-3.1641323780147
2457401.4232826,2548.27705077914,-6165.25383899276,2164.09887568578,6.67172167477338,2.05562477105736,-3.17967355419802
2457401.42335402,2589.39138720958,-6152.43293319199,2144.43118140796,6.65338269149818,2.09958823204813,-3.19508942305661
2457401.42342544,2630.39159211511,-6139.34088519829,2124.66877003166,6.63473261468466,2.14350163593607,-3.21037898164042
2457401.42349687,2671.27576012187,-6125.97800650985,2104.81241761911,6.61577175348218,2.18736274329969,-3.22554123838229
2457401.42356829,2712.04196791783,-6112.34462888879,2084.86291596535,6.59650044612809,2.23116928822556,-3.24057519834422
2457401.42363971,2752.688294391,-6098.44109822644,2064.82106303525,6.57691905120616,2.27491899985795,-3.2554798708553
2457401.42371114,2793.21284043388,-6084.2677676152,2044.68765312327,6.55702793799292,2.31860962380212,-3.27025427677925
2457401.42378256,2833.61368954452,-6069.82501089731,2024.46349631508,6.5368275055912,2.36223887975263,-3.28489743413488
2457401.42385398,2873.8889278008,-6055.113216131,2004.14940878381,6.5163181737281,2.40580448297718,-3.29940836555097
2457401.42392541,2914.03666348013,-6040.13277826764,1983.74620281798,6.49550037264575,2.4493041656299,-3.31378610534076
2457401.42399683,2954.05498802459,-6024.88411348266,1963.254706545,6.47437456313027,2.49273563456665,-3.32802968550686
2457401.42406825,2993.94199584152,-6009.36765224432,1942.6757540906,6.45294122685081,2.53609659275187,-3.34213814300825
2457401.42413968,3033.69580372951,-5993.58383159809,1922.01017547896,6.43120085579695,2.5793847604709,-3.35611052663709
2457401.4242111,3073.31451222321,-5977.53311027644,1901.25881661125,6.40915397319915,2.62259783335138,-3.36994588341608
2457401.42428252,3112.79622521166,-5961.21596137184,1880.42252929194,6.38680112341059,2.66573350368251,-3.38364326567301
2457401.42435395,3152.13906916414,-5944.63286422949,1859.50216100373,6.36414286089189,2.70878948151873,-3.39720173771629
2457401.42442537,3191.34114852932,-5927.7843230841,1838.49857854442,6.34117977576473,2.75176344596893,-3.41062036046962
2457401.42449679,3230.40059686761,-5910.67084558028,1817.41264087279,6.31791246450942,2.79465310120277,-3.42389820916478
2457401.42456822,3269.31553245862,-5893.2929617929,1796.24522286417,6.29434155595663,2.83745612786573,-3.43703435818123
2457401.42463964,3308.08407759218,-5875.65121624626,1774.99720512557,6.27046770041355,2.88017020422488,-3.45002788778843
2457401.42471106,3346.70437744413,-5857.74615915825,1753.66946356912,6.24629155789851,2.92279302707045,-3.46287789047713
2457401.42478249,3385.17456251321,-5839.57836360675,1732.26289003484,6.22181382141472,2.96532227038314,-3.47558345844258
2457401.42485391,3423.492767708,-5821.1484171578,1710.77838198208,6.19703520562385,3.00775560636589,-3.4881436901231
2457401.42492533,3461.65715100045,-5802.45691272419,1689.21683194799,6.17195643463477,3.05009072620913,-3.50055769631875
2457401.42499676,3499.66585630101,-5783.50446649483,1667.57914839837,6.14657826614964,3.09232529903585,-3.51282458809582
2457401.42506818,3537.51703233485,-5764.29170917316,1645.86624529834,6.12090147968618,3.13445699281097,-3.52494348311777
2457401.4251396,3575.20885105904,-5744.81927645576,1624.07903146298,6.09492686392737,3.17648349495333,-3.53691351154544
2457401.42521103,3612.73947100061,-5725.08782771507,1602.21843162371,6.06865524172753,3.21840247158824,-3.54873380437311
2457401.42528245,3650.1070559027,-5705.09803685597,1580.28537588814,6.0420874578932,3.26021158831168,-3.56040349954415
2457401.42535387,3687.30979291071,-5684.8505824105,1558.28078897949,6.01522436608839,3.30190853065368,-3.57192174763302
2457401.4254253,3724.34585637412,-5664.34616697579,1536.20561151891,5.98806685470328,3.34349096364147,-3.58328770061552
2457401.42549672,3761.21342626937,-5643.58550768378,1514.06078937003,5.96061583418675,3.384956552425,-3.59450051776986
2457401.42556814,3797.91070613393,-5622.5693259217,1491.84726277862,5.93287222351946,3.42630298256667,-3.60555937113237
2457401.42563957,3834.43588735913,-5601.29836751318,1469.56598785611,5.90483697692946,3.46752791994817,-3.61646343471287
2457401.42571099,3870.78716737195,-5579.77339280894,1447.2179258185,5.87651107078647,3.50862903123576,-3.62721189017391
2457401.42578241,3906.96276731356,-5557.99516603397,1424.8040320278,5.84789548964354,3.54960400399128,-3.63780393205816
2457401.42585383,3942.96089102026,-5535.96447979526,1402.32528131599,5.81899125849794,3.5904505003344,-3.64823875577744
2457401.42592526,3978.77977204632,-5513.68212684722,1379.78263888605,5.78979940571829,3.63116621027515,-3.65851557145614
2457401.42599668,4014.41763289998,-5491.14892496689,1357.17708573137,5.76032099572298,3.6717488055617,-3.66863359214755
2457401.4260681,4049.87270281057,-5468.36570641706,1334.50960770469,5.73055711514826,3.71219595986144,-3.67859203913677
2457401.42613953,4085.14323496574,-5445.33330667737,1311.78118440404,5.7005088581789,3.75250536855298,-3.68839014677944
2457401.42621095,4120.22747217943,-5422.05258658004,1288.99281115802,5.670177355487,3.79267470963544,-3.69802715293417
2457401.42628237,4155.12366439703,-5398.52442140217,1266.145488,5.63956375997187,3.83270166372211,-3.70750230403374
2457401.4263538,4189.83008565972,-5374.74968923075,1243.24020846499,5.60866923166828,3.8725839336298,-3.71681485968662
2457401.42642522,4224.34500031348,-5350.7292938197,1220.27798174916,5.5774949675036,3.9123192056977,-3.7259640835772
2457401.42649664,4258.66668024768,-5326.46415331299,1197.25982159149,5.54604218661115,3.95190516958674,-3.73494924830256
2457401.42656807,4292.79342157545,-5301.95518824944,1174.18673498814,5.51431211482395,3.99133953765217,-3.74376963973234
2457401.42663949,4326.72351140247,-5277.20334513091,1151.05974451515,5.4823060152365,4.03062000669579,-3.75242454838411
2457401.42671091,4360.4552447874,-5252.20958478243,1127.87987712421,5.45002517309967,4.06974427755664,-3.76091327402105
2457401.42678234,4393.98694113437,-5226.97486999829,1104.64815277676,5.41747087990184,4.10871007426015,-3.76923512976791
2457401.42685376,4427.31691153139,-5201.50018981678,1081.36560692415,5.38464446472893,4.14751510621828,-3.77738943396611
2457401.42692518,4460.4434754299,-5175.78654751768,1058.03327921888,5.35154727874144,4.18615708760629,-3.78537551453037
2457401.42699661,4493.36497673992,-5149.83494791517,1034.65220207391,5.31818067885003,4.2246337562764,-3.79319271281682
2457401.42706803,4526.0797517515,-5123.64642233165,1011.22342329254,5.28454605986387,4.26294283642359,-3.80084037596353
2457401.42713945,4558.58614552913,-5097.22201623396,987.74799469694,5.25064483855137,4.30108205774223,-3.80831786100336
2457401.42721088,4590.8825276941,-5070.56277618385,964.226960623172,5.21647843692457,4.33904917408443,-3.81562453847938
2457401.4272823,4622.96725577539,-5043.66977986788,940.66138450392,5.18204832074993,4.37684192051743,-3.82275978413729
2457401.42735372,4654.83871720443,-5016.54410150601,917.052318319679,5.14735595521292,4.41445806277962,-3.82972298849891
2457401.42742515,4686.49529297482,-4989.18684221843,893.400829244442,5.11240284380533,4.45189535459407,-3.83651354880276
2457401.42749657,4717.93537352628,-4961.59911708362,869.707988159845,5.07719051172373,4.4891515564136,-3.84313087269927
2457401.42756799,4749.1573740043,-4933.78204151731,845.974858042984,5.04172048850109,4.52622445364777,-3.84957438144194
2457401.42763942,4780.15970382651,-4905.73675805007,822.202516936125,5.00599434217555,4.56311182068938,-3.85584350355342
2457401.42771084,4810.94078225715,-4877.46442303951,798.392046393705,4.97001366229309,4.59981143940642,-3.86193767826742
2457401.42778226,4841.49905334296,-4848.9661927129,774.544519812405,4.93378004215665,4.63632111709626,-3.8678563584617
2457401.42785369,4871.83295611617,-4820.24325060845,750.661025515568,4.89729511373442,4.67263865105064,-3.87359900482887
2457401.42792511,4901.94093985326,-4791.29679394512,726.742655136894,4.86056053027178,4.70876184678561,-3.87916508906261
