jd,x,y,z,xdot,ydot,zdot
2457401.42135417,1402.09602772976,-6408.14733708058,2656.6349712463,7.04865932337732,0.857760321833109,-2.71943496648463
2457401.42164248,1577.16631393074,-6384.54348240352,2587.97537588263,7.00681919096573,1.03737614843731,-2.79325432558338
2457401.42193079,1751.1308769944,-6356.46471481991,2517.49774227604,6.95988031945344,1.21702483045636,-2.86541994795267
2457401.4222191,1923.86262566308,-6323.91193040528,2445.24413623294,6.90783577488236,1.3965682924227,-2.93586216413814
2457401.42250741,2095.2343534177,-6286.8894908922,2371.2583519974,6.8506833077617,1.57586631033818,-3.00451179360256
2457401.42279572,2265.11885673691,-6245.40527563047,2295.58589875909,6.78842548850182,1.75477664273887,-3.07130025320529
2457401.42308403,2433.38905667473,-6199.4707301728,2218.27398442579,6.72106983757251,1.93315517155064,-3.13615966872902
2457401.42337234,2599.91812361867,-6149.1009112412,2139.37149658665,6.64862894969529,2.11085605272348,-3.19902298922122
2457401.42366065,2764.57960507217,-6094.31452783024,2058.92898059845,6.57112061137069,2.28773187658612,-3.25982410389205
2457401.42394896,2927.24755627701,-6035.13397820897,1976.99861473973,6.48856791104235,2.46363383780285,-3.31849796128166
2457401.42423727,3087.79667350545,-5971.58538257648,1893.63418236899,6.40099934118418,2.63841191479832,-3.37498069039676
2457401.42452558,3246.10242979768,-5903.69861114112,1808.89104104906,6.30844889161613,2.81191505842492,-3.42920972347829
2457401.42481389,3402.04121291873,-5831.50730739558,1722.82608860035,6.21095613335579,2.98399138961103,-3.4811239200448
2457401.4251022,3555.49046530306,-5755.04890636126,1635.49772604935,6.10856629231852,3.15448840568561,-3.53066369183705
2457401.42539051,3706.32882571184,-5674.36464759481,1546.96581746127,6.00133031221064,3.32325319499089,-3.57777112825884
2457401.42567882,3854.43627233795,-5589.49958274836,1457.29164664272,5.88930490596733,3.49013265936709,-3.622390121898
2457401.42596713,3999.69426705447,-5500.5025774973,1366.53787072342,5.77255259512948,3.65497374401118,-3.66446649368544
2457401.42625544,4141.9859005145,-5407.42630764775,1274.7684706215,5.65114173656666,3.81762367418606,-3.70394811724174
2457401.42654375,4281.19603775997,-5310.32724926998,1182.04869842988,5.52514653601836,3.97793019816119,-3.74078504193586
2457401.42683206,4417.21146402243,-5209.26566269772,1088.44502174996,5.39464704793901,4.13574183575517,-3.7749296141794
2457401.42712037,4549.92103035602,-5104.30557026808,994.025065029428,5.25972916120431,4.29090813176417,-3.80633659646173
2457401.42740868,4679.21579874951,-4995.51472768429,898.857547963117,5.12048457027542,4.4432799135305,-3.83496328362925
2457401.42769699,4804.98918635007,-4882.96458890571,803.012221030594,4.97701073147843,4.59270955185319,-3.86076961590658
2457401.4279853,4927.13710841906,-4766.73026449336,706.559798260392,4.82941080412339,4.73905122439407,-3.88371828815596
2457401.42827361,5045.55811963892,-4646.890473358,609.571887319833,4.6777935762489,4.88216118069885,-3.90377485487466
2457401.42856192,5160.15355338837,-4523.52748787619,512.120917039412,4.5222733748436,5.02189800792111,-3.92090783043623
2457401.42885023,5270.82765858946,-4396.72707237414,414.280062501528,4.36296996048249,5.15812289629344,-3.93508878408878
2457401.42913854,5377.48773374172,-4266.57841499119,316.12316782567,4.20000840637689,5.29069990337968,-3.94629242923803
2457401.42942685,5480.04425774927,-4133.17405296956,217.724666801866,4.03351896192781,5.41949621611052,-3.95449670655774
2457401.42971516,5578.41101715682,-3996.60979143572,119.159501530309,3.86363690094437,5.54438240959874,-3.95968286049035
2457401.43000347,5672.50522941525,-3856.98461576235,20.5030392348386,3.69050235476789,5.66523270172331,-3.96183550872361
2457401.43029178,5762.24766179358,-3714.40059764209,-78.169012560266,3.51426013064428,5.78192520245631,-3.96094270425456
2457401.43058009,5847.56274558539,-3568.9627949982,-176.780692313755,3.33505951572991,5.89434215694049,-3.95699598968312
2457401.4308684,5928.37868524255,-3420.77914592109,-275.255871998791,3.15305406724382,6.00237018130389,-3.94999044340871
2457401.43115671,6004.62756210773,-3269.96035680569,-373.518345689288,2.96840138931055,6.10590049024999,-3.93992471743933
2457401.43144502,6076.24543240807,-3116.61978492939,-471.491918973832,2.78126289716359,6.20482911545683,-3.92680106656091
2457401.43173333,6143.17241921521,-2960.87331568824,-569.100498994346,2.5918035693975,6.29905711388453,-3.9106253686536
2457401.43202164,6205.35279806991,-2802.83923478013,-666.268184870055,2.4001916890857,6.3884907650967,-3.89140713598611
2457401.43230995,6262.7350760127,-2642.63809560155,-762.919358292077,2.20659857459289,6.47304175677683,-3.86915951736075
2457401.43259826,6315.27206376827,-2480.39258217735,-858.978774050183,2.01119830101201,6.55262735765137,-3.84389929102951
2457401.43288657,6362.92094086532,-2316.22736793867,-954.371650266701,1.81416741318189,6.62717057710329,-3.8156468483455
2457401.43317488,6405.64331349065,-2150.26897070304,-1049.02375809906,1.61568463131725,6.69660031081133,-3.7844261681639
2457401.43346319,6443.40526491063,-1982.64560420217,-1142.86151068779,1.41593055029632,6.76085147183019,-3.75026478205026
2457401.4337515,6476.17739831367,-1813.48702653655,-1235.81205111722,1.21508733371026,6.81986510658897,-3.71319373040343
2457401.43403981,6503.93487195763,-1642.92438594339,-1327.80333916241,1.01333840380239,6.8735884953642,-3.67324750964696
2457401.43432812,6526.65742653681,-1471.09006426402,-1418.76423660604,0.810868128432712,6.92197523686627,-3.63046401068563
2457401.43461644,6544.32940470921,-1298.1175185153,-1508.6245909085,0.607861506230318,6.96498531665425,-3.58488444886971
2457401.43490475,6556.9397627545,-1124.14112097897,-1597.31531701971,0.404503851104971,7.00258515917749,-3.53655328575317
2457401.43519306,6564.48207436438,-949.295998208455,-1684.76847713824,0.200980477266262,7.03474766333025,-3.48551814296769
2457401.43548137,6566.95452659321,-773.717869380393,-1770.91735821866,-0.00252361408074723,7.06145222148325,-3.43182970857867
2457401.43576968,6564.35990802822,-597.542884389231,-1855.69654705195,-0.205824045244898,7.08268472204612,-3.37554163631714
2457401.43605799,6556.70558926443,-420.907462104805,-1939.04200274229,-0.408737368641393,7.09843753569162,-3.31671043812005
2457401.4363463,6544.00349579828,-243.948129196247,-2020.89112642074,-0.61108136839105,7.10870948545616,-3.25539537043737
2457401.43663461,6526.2700734797,-66.8013599150951,-2101.18282804981,-0.81267535589274,7.1135058010085,-3.19165831478815
2457401.43692292,6503.52624668857,110.396582759833,-2179.85759017704,-1.01334045835909,7.11283805745276,-3.12556365307628
2457401.43721123,6475.79736942381,287.509804252215,-2256.85752852194,-1.21289989938868,7.10672409910444,-3.05717813818467
