jd,x,y,z,xdot,ydot,zdot
2457401.42135417,-5191.92010808361,-3778.22317087494,3549.35769723054,4.75006751978638,-5.36109941909128,0.946899699672076
2457401.4214225,-5163.78447303206,-3809.80851779087,3554.88573053943,4.78092692544887,-5.33848751092343,0.925729457478216
2457401.42149083,-5135.4671081689,-3841.25978545931,3560.28865619132,4.81162879508193,-5.31567981525249,0.90451925599167
2457401.42155917,-5106.96894673776,-3872.57581963674,3565.56624013185,4.8421720623594,-5.29267690494676,0.88326972757638
2457401.4216275,-5078.29092827164,-3903.75546947784,3570.71825204564,4.87255566305165,-5.26947935829017,0.861981506464671
2457401.42169583,-5049.43399858057,-3934.79758756751,3575.74446536738,4.90277853504415,-5.24608775899828,0.840655228758609
2457401.42176417,-5020.39910973902,-3965.70102995299,3580.64465729281,4.93283961835622,-5.22250269623436,0.819291532431307
2457401.4218325,-4991.18722007324,-3996.46465617606,3585.41860878981,4.96273785516027,-5.19872476462564,0.797891057328165
2457401.42190083,-4961.79929414851,-4027.08732930537,3590.06610460945,4.9924721898013,-5.17475456427964,0.776454445168061
2457401.42196917,-4932.23630275627,-4057.56791596882,3594.58693329704,5.02204156881676,-5.1505927008006,0.75498233954446
2457401.4220375,-4902.49922290106,-4087.90528638608,3598.98088720321,5.05144494095677,-5.12623978530605,0.733475385926471
2457401.42210583,-4872.58903778745,-4118.09831440118,3603.247762495,5.08068125720468,-5.10169643444346,0.711934231659828
2457401.42217417,-4842.50673680677,-4148.14587751521,3607.38735916691,5.10974947079801,-5.07696327040701,0.6903595259678
2457401.4222425,-4812.25331552376,-4178.04685691911,3611.39948105203,5.13864853724971,-5.05204092095443,0.668751919952023
2457401.42231084,-4781.82977566302,-4207.80013752659,3615.28393583309,5.1673774143698,-5.02693001942395,0.647112066593264
2457401.42237917,-4751.23712509545,-4237.40460800711,3619.04053505358,5.19593506228739,-5.00163120475135,0.625440620752101
2457401.4224475,-4720.47637782444,-4266.85916081896,3622.66909412887,5.22432044347302,-4.97614512148709,0.603738239169516
2457401.42251584,-4689.54855397201,-4296.16269224251,3626.16943235724,5.25253252276143,-4.9504724198135,0.582005580467411
2457401.42258417,-4658.45467976478,-4325.31410241347,3629.54137293109,5.28057026737461,-4.92461375556208,0.560243305149037
2457401.4226525,-4627.19578751977,-4354.3122953563,3632.78474294796,5.30843264694533,-4.89856979023088,0.538452075599326
2457401.42272084,-4595.77291563017,-4383.15617901774,3635.89937342169,5.33611863354099,-4.87234119100193,0.516632556085141
2457401.42278917,-4564.18710855081,-4411.84466530039,3638.8850992935,5.36362720168782,-4.84592863075874,0.494785412755422
2457401.4228575,-4532.43941678364,-4440.37667009645,3641.74175944313,5.3909573283955,-4.81933278810391,0.47291131364124
2457401.42292584,-4500.53089686295,-4468.7511133215,3644.46919669995,5.4181079931822,-4.79255434737671,0.451010928655753
2457401.42299417,-4468.46261134051,-4496.96691894848,3647.06725785404,5.4450781780999,-4.76559399867082,0.429084929594052
2457401.4230625,-4436.23562877053,-4525.02301504166,3649.53579366734,5.47186686776021,-4.73845243785208,0.407133990132906
2457401.42313084,-4403.85102369444,-4552.91833379079,3651.87465888472,5.49847304936051,-4.71113036657626,0.385158785830404
2457401.42319917,-4371.30987662559,-4580.65181154536,3654.08371224513,5.52489571271049,-4.68362849230692,0.363159994125476
2457401.4232675,-4338.61327403374,-4608.22238884892,3656.16281649267,5.55113385025915,-4.65594752833331,0.34113829433731
2457401.42333584,-4305.76230832937,-4635.6290104735,3658.11183838768,5.57718645712207,-4.62808819378829,0.319094367664647
