transfer_id,departure_object_id,arrival_object_id,departure_epoch,time_of_flight,revolutions,prograde,departure_position_x,departure_position_y,departure_position_z,departure_velocity_x,departure_velocity_y,departure_velocity_z,departure_semi_major_axis,departure_eccentricity,departure_inclination,departure_argument_of_periapsis,departure_longitude_of_ascending_node,departure_true_anomaly,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_semi_major_axis,arrival_eccentricity,arrival_inclination,arrival_argument_of_periapsis,arrival_longitude_of_ascending_node,arrival_true_anomaly,transfer_semi_major_axis,transfer_eccentricity,transfer_inclination,transfer_argument_of_periapsis,transfer_longitude_of_ascending_node,transfer_true_anomaly,departure_delta_v_x,departure_delta_v_y,departure_delta_v_z,arrival_delta_v_x,arrival_delta_v_y,arrival_delta_v_z,transfer_delta_v
1145807,16615,21610,2.4574e+06,64674,10,0,-147.564,3310.93,-6369.53,2.15307,6.33889,3.24221,7156.33,0.00335026,1.72236,2.13151,1.3174,3.03786,-1109.77,257.043,-7053.09,3.8981,6.34656,-0.381082,7122.51,0.00308816,1.72237,1.47738,1.01218,3.18317,7073.05,0.0169459,1.73078,2.48262,1.30002,2.68406,0.120937,-0.0493193,-0.0888753,-1.93411,0.819192,0.23077,2.27106
1953804,16615,21610,2.4574e+06,64437,10,0,16.3131,3834.22,-6070.95,2.12881,6.02459,3.80902,7157.65,0.00318153,1.72235,2.17398,1.32231,3.08308,-1108.3,256.065,-7053.34,3.86771,6.36547,-0.375625,7122.51,0.00308647,1.72237,1.47611,1.0171,3.18517,7062.01,0.0174484,1.73059,2.38996,1.3085,2.86497,0.098036,-0.0522652,-0.0734536,-1.96377,0.810639,0.239452,2.27115
1753804,16615,21610,2.4574e+06,64437,10,0,103.915,4064.91,-5918.12,2.13355,5.85736,4.05955,7158.3,0.00309199,1.72234,2.19482,1.3211,3.10248,-1105.76,261.077,-7053.56,3.87622,6.36055,-0.371222,7122.51,0.00308702,1.72237,1.47706,1.01587,3.18482,7064.79,0.0168565,1.73043,2.39128,1.30871,2.90411,0.0897325,-0.0499277,-0.0677694,-1.97194,0.81718,0.244126,2.2715
1148806,16615,21610,2.4574e+06,64595,10,0,46.5726,3866.23,-6050.42,2.15795,5.9921,3.84386,7157.74,0.0031656,1.72235,2.1823,1.31743,3.08032,-1066.82,326.837,-7056.81,3.91112,6.34307,-0.296465,7122.49,0.00308961,1.72237,1.4867,1.01219,3.18533,7073.09,0.016103,1.72751,2.45724,1.3089,2.80406,0.0570439,-0.0339043,-0.067023,-1.99488,0.837026,0.24491,2.2715
1345807,16615,21610,2.4574e+06,64674,10,0,-234.778,3061.85,-6490.26,2.13728,6.47424,2.97363,7155.78,0.00342051,1.72237,2.10629,1.31861,3.02284,-1112.32,252.032,-7052.86,3.8896,6.35151,-0.385486,7122.51,0.00308762,1.72237,1.47642,1.01341,3.18352,7070.27,0.0178424,1.73093,2.49051,1.29896,2.63557,0.134499,-0.0535027,-0.0986078,-1.92048,0.811014,0.222279,2.27167
1950805,16615,21610,2.4574e+06,64516,10,0,-175.073,3276.14,-6386.83,2.12114,6.36813,3.20556,7156.25,0.00336513,1.72236,2.12313,1.32228,3.0407,-1150.77,186.029,-7048.74,3.85419,6.36812,-0.460196,7122.53,0.00308439,1.72237,1.46678,1.01709,3.18301,7061.96,0.0181777,1.73368,2.41136,1.29853,2.74875,0.168042,-0.0693074,-0.0960981,-1.89567,0.790669,0.224573,2.27181
1553804,16615,21610,2.4574e+06,64437,10,0,191.904,4288.82,-5755.68,2.13443,5.68061,4.30355,7158.98,0.00299795,1.72234,2.21389,1.31989,3.12366,-1103.21,266.084,-7053.77,3.88472,6.35561,-0.366818,7122.51,0.00308756,1.72237,1.47802,1.01464,3.18446,7067.56,0.0163089,1.73026,2.39492,1.30875,2.9409,0.0824934,-0.0478858,-0.0628947,-1.97896,0.82341,0.248167,2.272
1445807,16615,21610,2.4574e+06,64674,10,0,277.971,-2919.7,6520.87,-2.13681,-6.56621,-2.84758,7155.47,0.000770751,1.72237,1.75419,1.31921,0.212696,1109.14,-250.894,7032.76,-3.89667,-6.37212,0.387537,7122.48,0.000232859,1.72237,4.83995,1.01402,2.96163,7068.63,0.0134644,1.73091,5.64197,1.29846,2.60488,-0.142139,0.0621128,0.0892299,1.91454,-0.808663,-0.248539,2.27208
1245807,16615,21610,2.4574e+06,64674,10,0,190.941,-3172.4,6405.01,-2.15463,-6.43511,-3.12086,7156.01,0.000860611,1.72237,1.69287,1.31801,0.314568,1106.61,-255.878,7032.98,-3.9052,-6.36717,0.383129,7122.48,0.000232531,1.72237,4.84053,1.0128,2.96165,7071.4,0.0126687,1.73076,5.63701,1.29973,2.65078,-0.126942,0.0574599,0.0800769,1.92985,-0.817252,-0.25637,2.27209
1142808,16615,21610,2.4574e+06,64753,10,0,-340.419,2726.88,-6633.18,2.1295,6.63051,2.61256,7155.11,0.00349871,1.72238,2.07455,1.31737,3.00158,-1152.58,187.215,-7048.43,3.88457,6.34922,-0.465649,7122.53,0.00308598,1.72237,1.46805,1.01218,3.18101,7073.01,0.0183586,1.73375,2.52332,1.28689,2.54804,0.210491,-0.0736907,-0.120602,-1.84518,0.792289,0.206397,2.27221
1348806,16615,21610,2.4574e+06,64595,10,0,-41.6819,3630.39,-6194.77,2.15064,6.15095,3.58801,7157.11,0.00325038,1.72236,2.15996,1.31864,3.06242,-1069.46,321.881,-7056.64,3.90265,6.34808,-0.300871,7122.49,0.0030891,1.72237,1.48575,1.01341,3.18568,7070.32,0.0167875,1.72769,2.45848,1.30897,2.76241,0.0637059,-0.0359337,-0.0733519,-1.98879,0.83104,0.239676,2.27231
1045807,16615,21610,2.4574e+06,64674,10,0,102.989,-3419.7,6278.63,-2.16859,-6.29342,-3.38906,7156.59,0.000958063,1.72236,1.6541,1.3168,0.393905,1104.07,-260.856,7033.19,-3.91371,-6.36221,0.37872,7122.47,0.000232205,1.72237,4.84111,1.01157,2.96167,7074.17,0.0119758,1.73061,5.63723,1.30061,2.69145,-0.114312,0.0535929,0.0724858,1.9425,-0.825076,-0.262801,2.27234
1750805,16615,21610,2.4574e+06,64516,10,0,-88.2782,3520.86,-6257.18,2.13431,6.22394,3.46966,7156.83,0.00328884,1.72236,2.14729,1.32107,3.05678,-1148.32,191.095,-7049.01,3.86273,6.36325,-0.455796,7122.53,0.00308496,1.72237,1.46774,1.01587,3.18266,7064.74,0.0174352,1.73356,2.40695,1.29981,2.79379,0.153252,-0.0649204,-0.0875358,-1.91096,0.799298,0.231978,2.27238
1645807,16615,21610,2.4574e+06,64674,10,0,363.924,-2662.01,6626.03,-2.1152,-6.6865,-2.56967,7154.97,0.000692477,1.72238,1.84356,1.32042,0.0827657,1111.66,-245.905,7032.55,-3.88814,-6.37706,0.391944,7122.48,0.000233189,1.72237,4.83937,1.01525,2.96162,7065.85,0.0144027,1.73105,5.65286,1.29665,2.55296,-0.16076,0.0678298,0.100437,1.89573,-0.799044,-0.238807,2.27238
1956803,16615,21610,2.4574e+06,64358,10,0,207.558,4358.99,-5702.19,2.11799,5.62854,4.37958,7159.2,0.00296921,1.72233,2.21607,1.32233,3.13424,-1065.68,326.067,-7057,3.88071,6.36199,-0.291004,7122.49,0.00308782,1.72237,1.48545,1.0171,3.18732,7062.06,0.0170276,1.72729,2.38089,1.31556,2.96838,0.0448099,-0.0409642,-0.0572454,-2.01254,0.824716,0.247708,2.27247
1947806,16615,21610,2.4574e+06,64595,10,0,-364.94,2689.62,-6647.12,2.09506,6.65627,2.57442,7155.04,0.0035122,1.72238,2.06618,1.32225,3.00441,-1193.09,115.969,-7043.21,3.84017,6.36992,-0.544707,7122.56,0.00308158,1.72237,1.45746,1.01709,3.18086,7061.93,0.0194348,1.7364,2.449,1.28397,2.61554,0.266013,-0.0963081,-0.128909,-1.79714,0.760689,0.199089,2.27253
1353804,16615,21610,2.4574e+06,64437,10,0,280.119,4505.58,-5583.9,2.1314,5.49463,4.54062,7159.67,0.00290021,1.72233,2.23091,1.31868,3.14688,-1100.65,271.085,-7053.98,3.89321,6.35066,-0.362414,7122.51,0.0030881,1.72237,1.47897,1.01341,3.18411,7070.34,0.0157958,1.7301,2.40058,1.30865,2.97566,0.0761288,-0.046071,-0.0586964,-1.98504,0.829384,0.251706,2.27261
1756803,16615,21610,2.4574e+06,64358,10,0,295.205,4573.65,-5527.51,2.11426,5.43969,4.61437,7159.9,0.00287033,1.72233,2.23226,1.32112,3.1583,-1063.05,331.024,-7057.17,3.88919,6.35701,-0.286599,7122.49,0.00308835,1.72237,1.4864,1.01587,3.18697,7064.84,0.016526,1.72711,2.38634,1.31511,3.0033,0.0403127,-0.0397475,-0.053433,-2.01625,0.83004,0.250699,2.27263
1248806,16615,21610,2.4574e+06,64595,10,0,-3.53139,-3736.76,6096.31,-2.1638,-6.09708,-3.73405,7157.41,0.00110062,1.72235,1.62212,1.31803,0.479348,1063.58,-325.898,7036.73,-3.91829,-6.36366,0.298026,7122.46,0.000241812,1.72237,4.95644,1.0128,2.85729,7071.45,0.0119847,1.72748,5.60893,1.30917,2.77436,-0.0588628,0.0411841,0.0586606,1.99508,-0.835977,-0.269932,2.27267
1048806,16615,21610,2.4574e+06,64595,10,0,-92.3512,-3970.24,5946.39,-2.16911,-5.93182,-3.98879,7158.06,0.00120559,1.72234,1.61805,1.31683,0.52398,1060.95,-330.821,7036.89,-3.92678,-6.35864,0.293615,7122.46,0.000241455,1.72237,4.95722,1.01157,2.85711,7074.22,0.0114411,1.72731,5.61648,1.30901,2.80753,-0.0525837,0.0392554,0.0538437,2.00073,-0.841811,-0.273747,2.27269
1545807,16615,21610,2.4574e+06,64674,10,0,-321,2807.6,-6600.47,2.11773,6.59907,2.70027,7155.26,0.00348366,1.72237,2.08018,1.31981,3.00872,-1114.86,247.016,-7052.64,3.8811,6.35645,-0.38989,7122.51,0.00308708,1.72237,1.47547,1.01464,3.18388,7067.5,0.0188911,1.73107,2.50289,1.29743,2.58254,0.150931,-0.0585897,-0.110382,-1.9039,0.80196,0.211901,2.2727
1448806,16615,21610,2.4574e+06,64595,10,0,84.7172,-3496.96,6236.22,-2.15456,-6.25233,-3.47322,7156.78,0.000997411,1.72236,1.63808,1.31924,0.422831,1066.21,-320.969,7036.56,-3.9098,-6.36867,0.302437,7122.46,0.000242171,1.72237,4.95565,1.01403,2.85748,7068.67,0.0125828,1.72766,5.60524,1.30916,2.73731,-0.0661838,0.0434062,0.0643562,1.98829,-0.829842,-0.265415,2.27281
1556803,16615,21610,2.4574e+06,64358,10,0,382.89,4780.7,-5343.84,2.10663,5.24199,4.84172,7160.61,0.00276888,1.72232,2.246,1.31991,3.1848,-1060.4,335.977,-7057.34,3.89766,6.35201,-0.282193,7122.49,0.00308886,1.72237,1.48735,1.01465,3.18662,7067.62,0.016051,1.72693,2.39349,1.31457,3.0365,0.0363067,-0.0386335,-0.0501528,-2.0194,0.835218,0.253335,2.27292
1242808,16615,21610,2.4574e+06,64753,10,0,383.734,-2580.15,6657.25,-2.12652,-6.71644,-2.4804,7154.82,0.000665618,1.72238,1.89215,1.31797,0.0212698,1149.49,-185.823,7028.3,-3.89159,-6.36983,0.468181,7122.5,0.000225604,1.72237,4.71745,1.01279,3.07318,7071.36,0.0139142,1.73372,5.68534,1.28552,2.50619,-0.224382,0.083865,0.111921,1.83274,-0.788311,-0.231979,2.27293
1342808,16615,21610,2.4574e+06,64753,10,0,-425.837,2466.72,-6729.26,2.10538,6.74124,2.33356,7154.65,0.0035516,1.72238,2.04745,1.31858,2.98845,-1155.03,182.15,-7048.16,3.87604,6.35411,-0.470051,7122.53,0.00308542,1.72237,1.4671,1.01341,3.18136,7070.24,0.0196589,1.73382,2.54014,1.28371,2.49029,0.237441,-0.0823411,-0.136387,-1.81755,0.779661,0.191904,2.27295
1442808,16615,21610,2.4574e+06,64753,10,0,468.781,-2316.78,6748.04,-2.1003,-6.82226,-2.19709,7154.38,0.000611844,1.72238,2.0257,1.31918,6.13035,1151.93,-180.786,7028.03,-3.88303,-6.37473,0.472586,7122.5,0.000225895,1.72237,4.71707,1.01402,3.07296,7068.58,0.0151058,1.73378,5.70175,1.28178,2.44844,-0.255404,0.0937531,0.127475,1.80099,-0.774519,-0.217779,2.27298
1938807,16615,21610,2.4574e+06,64674,10,0,-909.098,811.309,-7074.42,1.90945,7.16633,0.570122,7152.95,0.00368265,1.7224,1.87903,1.32214,2.91182,-1898.13,-1094.95,-6800.23,3.518,6.26788,-1.99125,7123.77,0.00291995,1.72235,1.29918,1.01701,3.13974,7062.01,0.0212221,1.737,2.27556,1.07078,2.47531,1.65941,-0.697989,-0.386954,-0.399878,0.154223,-0.0513563,2.273
1133809,16615,21610,2.4574e+06,64832,10,0,-894.705,853.991,-7071.18,1.94955,7.15224,0.610699,7152.96,0.00367462,1.7224,1.88702,1.31727,2.90937,-1866.84,-1021.19,-6820.35,3.56988,6.2623,-1.9148,7123.68,0.00293471,1.72236,1.30945,1.0121,3.14022,7073.06,0.0203702,1.73808,2.35142,1.07246,2.40591,1.61728,-0.677276,-0.384221,-0.438154,0.185646,-0.0455009,2.27301
1334808,16615,21610,2.4574e+06,64753,10,0,-912.863,789.64,-7076.3,1.93225,7.16237,0.543522,7152.94,0.0036752,1.7224,1.87976,1.31848,2.90747,-2039.61,-1332.64,-6716.32,3.45684,6.20313,-2.28089,7124.18,0.0028621,1.72235,1.26985,1.01331,3.12807,7070.34,0.0191417,1.73643,2.23765,1.05768,2.50815,1.72004,-0.734864,-0.383754,-0.3379,0.125469,-0.0484852,2.27309
1747806,16615,21610,2.4574e+06,64595,10,0,-279.705,2946.23,-6541.76,2.11653,6.53634,2.84981,7155.54,0.00345228,1.72237,2.09259,1.32104,3.01823,-1190.74,121.088,-7043.53,3.84874,6.36512,-0.54031,7122.56,0.00308218,1.72237,1.45841,1.01586,3.1805,7064.7,0.0184197,1.73637,2.43664,1.2871,2.66882,0.23948,-0.0879624,-0.115536,-1.82478,0.77326,0.211247,2.27314
1845807,16615,21610,2.4574e+06,64674,10,0,448.648,-2399.76,6720.31,-2.08985,-6.79579,-2.28759,7154.52,0.000630909,1.72238,1.96479,1.32162,6.20417,1114.17,-240.91,7032.33,-3.8796,-6.38198,0.396351,7122.48,0.000233522,1.72237,4.83878,1.01648,2.96161,7063.07,0.0155453,1.73117,5.67063,1.29411,2.49405,-0.184089,0.0750298,0.114436,1.87211,-0.787991,-0.226425,2.27315
1550805,16615,21610,2.4574e+06,64516,10,0,-0.750235,3759.68,-6117.37,2.14367,6.06964,3.72818,7157.45,0.00320649,1.72235,2.1702,1.31986,3.0741,-1145.87,196.156,-7049.27,3.87127,6.35837,-0.451395,7122.53,0.00308553,1.72237,1.46869,1.01464,3.18231,7067.51,0.0167701,1.73343,2.40574,1.30074,2.83557,0.140658,-0.0612117,-0.0802844,-1.92396,0.807261,0.238237,2.27315
1648806,16615,21610,2.4574e+06,64595,10,0,172.235,-3251.21,6365.9,-2.14142,-6.39729,-3.20673,7156.19,0.000897935,1.72236,1.66969,1.32045,0.35066,1068.82,-316.035,7036.39,-3.90129,-6.37367,0.306847,7122.46,0.000242533,1.72237,4.95486,1.01526,2.85768,7065.9,0.0132528,1.72784,5.60594,1.30894,2.69582,-0.0748322,0.0460157,0.071148,1.98009,-0.823325,-0.259976,2.27319
1536808,16615,21610,2.4574e+06,64753,10,0,-872.904,939.953,-7063.12,1.94379,7.14508,0.704378,7153,0.0036806,1.7224,1.89356,1.31971,2.9156,-1829.21,-963.94,-6838.85,3.57428,6.28172,-1.84139,7123.58,0.00294714,1.72236,1.31635,1.01456,3.14361,7067.5,0.0208443,1.74044,2.3325,1.08729,2.43932,1.53996,-0.633175,-0.371116,-0.51957,0.225661,-0.030745,2.2732
1042808,16615,21610,2.4574e+06,64753,10,0,297.423,-2839.09,6555.53,-2.149,-6.59956,-2.75968,7155.31,0.000738268,1.72237,1.79075,1.31677,0.16323,1147.05,-190.856,7028.56,-3.90013,-6.36493,0.463775,7122.5,0.000225316,1.72237,4.71782,1.01156,3.07341,7074.13,0.0129385,1.73364,5.67572,1.28829,2.55698,-0.199668,0.0760557,0.0994858,1.8581,-0.800073,-0.243181,2.27329
1944807,16615,21610,2.4574e+06,64674,10,0,-551.639,2079.75,-6849.56,2.0508,6.88656,1.92104,7154.07,0.0036167,1.72239,2.00532,1.32221,2.97203,-1235.25,45.8933,-7036.76,3.82565,6.37089,-0.629147,7122.59,0.00307805,1.72237,1.44814,1.01709,3.17869,7061.9,0.0216993,1.7384,2.50756,1.2613,2.4601,0.415021,-0.142608,-0.179621,-1.64521,0.711437,0.154775,2.27329
1356803,16615,21610,2.4574e+06,64358,10,0,470.45,4979.8,-5151.5,2.09509,5.03578,5.06127,7161.33,0.00266581,1.72231,2.25698,1.3187,3.21407,-1057.75,340.923,-7057.5,3.90612,6.347,-0.277787,7122.49,0.00308937,1.72237,1.4883,1.01342,3.18627,7070.39,0.0155972,1.72675,2.40213,1.31396,3.0682,0.0327143,-0.0375884,-0.0473268,-2.02205,0.84027,0.255687,2.27329
1153804,16615,21610,2.4574e+06,64437,10,0,368.402,4714.83,-5403.05,2.12446,5.29972,4.77038,7160.38,0.00279959,1.72232,2.2456,1.31747,3.17244,-1098.07,276.081,-7054.19,3.9017,6.34569,-0.358009,7122.5,0.00308863,1.72237,1.47992,1.01218,3.18376,7073.11,0.0153102,1.72993,2.408,1.30842,3.00864,0.070492,-0.0444286,-0.0550695,-1.99031,0.835144,0.254846,2.2733
1548806,16615,21610,2.4574e+06,64595,10,0,-129.286,3388.47,-6329.08,2.13948,6.29979,3.3264,7156.51,0.00332937,1.72236,2.13628,1.31984,3.04586,-1072.09,316.919,-7056.46,3.89418,6.35307,-0.305277,7122.49,0.00308858,1.72237,1.4848,1.01464,3.18603,7067.54,0.0175524,1.72787,2.46299,1.30884,2.71745,0.0715145,-0.0382999,-0.0808238,-1.98147,0.824716,0.233472,2.27343
